@rowCount	2000
w	d	t	v	r
bacru	ba'u utter                                     x1 utters verbally/says/phonates/speaks [vocally makes sound] x2                                 1h 386    [also voices; does not necessarily imply communication or audience; ('says' is usually cusku)]; (cf. krixa, cusku, casnu, tavla, voksa, pinka)	jbo	NLMMGOUKOKPHPOOORPPNVSOQRSNMUNNSSPNQMNLMMPQOPMMROQJQNTPJMSOQLOTSQOKNITLOOQMPTMRPNLJOLMMOLPOPPOQMNOPOLQPOJMNMOQNMNNQQNKPMNOMRNIOOOPNQPNLLLPPOOQORQNMMSVOOPLPLOPONLOLNPPMOMMOOOLKOPPPONPTNRNMQQLNLNLLQQNNPRPMMPOPSNMMQPQMNNQNQRMJONUORLMTRRNOLQMRORPOPMPMONMPROOMOJQMLMNNOQPMPPNNPOOQOORMOOORNQMQNNNNQQNRNKNORIKMLPSOPTROPQQOTPNNOIMNJRONKQKONNKPQNNPJONMRGOPSNNMTOLPNNMQQQOOPQSPLNLQRLPPSNQQOSRPL
badna	banana                                    x1 is a banana/plantain [fruit/plant] of species/breed x2                                        aj   2    (cf. grute)	jbo	NLPLQQQOONUIOMQOMNMQUQKMPRKOTLNURRNPPNQNQRPLOPQOONPLLNUOJOOOPPRMQJKMPQMQPRISQOOMMONMNOPNMQPQTQPOPKOPMSRPMNJNOPNMNOLPROPPOMLNOKPOMOLQQLMQNRJPLPMSONQQOQMLMOSJTNOMNSMNTMNOPPPQPMNPQPLPRSONJRIQQRMPOQJKSPOJTOSLONQPLOMPHQOQPPPPNMNOMRNPPPPKKMNOOMMNQMKOLQNNPSTQNPNMLONKNNMNOQNTQNRQTPPQMMOOQQMTQLOOPOPTPPPRRLOSOLPKQROPPPPUQPOMKOQONJLLNSMNRNLRMRPMPUMNKOJLPLMPOPPSOOSOQQNLOPKOQNPPMNQROKLMKMOPNNON
badri	dri      sad                                       x1 is sad/depressed/dejected/[unhappy/feels sorrow/grief] about x2 (abstraction)                 3c  91    (cf. klaku, gleki, betri, cinmo, junri)	jbo	MNQOOLQQQKRKNPPPLPLTTPKQQSPOROPRRPQPMLMLOQONQKMOPNMOOPUONOONOQRNTNOJORILQNOORNPLOQPPKQQKNPONQRRMQPOQLTPNLMLLKMJKQLOPOOTPOKLPQLKOQNLTMMMNLNLSMPNKRNPRQTPJLSSNRNMLQPPQMONNKPMLQPOLPNNPPNQKOOORMOMLPSILQNLQROSLMMOOLNMQNMMMIRLNRNQOONMPNPMORRRMQQORPMJPPULMORUROLMNKPQLLMLLSPQSQPPQQQQMNOPQONORNKPRLKONNQRPKLOQJQRNQNRPQPPTONOQOPPOMLLKNMQNOTPPJLOQOTONQMMNNMOLLNRTQNOPSONRQPNNSPSLMLPSLNOPMRLQSPPO
bajra	baj          run                                       x1 runs on surface x2 using limbs x3 with gait x4                                                2b   0    (cf. cadzu, klama, litru, stapa, plipe, cpare)	jbo	NKNMMLRQKMUKORPSMPOTSPQNMQRORMOROMQQNKLOPOPMROPOPPMLQORNHQPOPQSORLKKKRNLQNMRQOOKKLLQMROOOPRQMNOLQOOOLOTWLNONMNQMOONPMNQPNNNQNLPOMNOPNMMMKRKSPPQPPKPRWPKMOUSNQQOOMNLNQOINOOPMOLOSRPNRRPPLKPNRPQJONOMLOPNNSRRMNOKNLQQNQNPOKRPNNOLOMROPMMQLNONPQRRRLMKOQUONMRUQKPLOKRMLMPPLRPNRPPPROMMPOMQMQMORQLRORNOPOMLQNNNUKOROPOQRSRMRPMQQRUMOLPMNNQMNRMMMPTRPLOLHMKPQMJLNQMNRQQPORRPQOPNMQQNLONOPMPQPLNMPNNMO
bakfu	baf          bundle               'pack'               x1 is a bundle/package/cluster/clump/pack [shape/form] containing x2, held together by x3        9b   3    (cf. daski, dakli, tanxe)	jbo	KLNNQNROMKTKNQROLNOOPOQSRQLLQLPSQPRRQMKNQOPOMPNOOOOOKRTNLQNQQPRQQRKNNNLPOQORSONNIPPRKPPMMMNQQRMMPPQRKPVRMJKMNONLNJLPNQPORMROMLNOMPMTNINNKQMROSPKNONOOROMKRROPOPLOOMOMMJPOPONRMRMQLONRQQKROMPQOMOMQMOOPLSPNRLOQMMKJQNKQORLONQOLOOPOOMNRNPOPMNTMOPPKLONQNMMRSQPNNMLPOMNPKILPMQPPSQOQLPOMMULRQORMRMPMLOMPPRNLNSLSQPNRNSTPSSPLOROTQOMNIKOPNROPORKPMNLQMMPLSOKOPPRMNPOPSRLSQSRMQPORMPNMPRIPLNJNQQMKQO
bakni	bak          bovine               'ox'                 x1 is a cow/cattle/kine/ox/[bull/steer/calf] [beef-producer/bovine] of species/breed x2          ai   8    (cf. danlu)	jbo	KLNRPKQROJSLOPMSONOPQQOTOMPONNMQSNNOTNPOSMQMRSNPPROLLRUNJPNSPSSRSLLPKONLOQLSRNUKKLKPKPPOKONNOOQORQNRJOQPLLLQNNNLPOQTNOMLOPPPPLRONNMMLKONMRMPQNONRMNRRSOOLMOIOPPMLNJHNKLPMONQPRNQOOLPQOQMOPLQSPMPMMMNQQOPOLQMNOMPMOOPLQNNPPNPMJQOOQOPMNRQQOOQONSOKPMMNRMORTMQPLJNQOONPOLNORJRORNQTOQRPJOONQORQLUQLOPOOLRQMOQPLNOONORTSQNVRMOONQPOKJOOPRKMQOMTNOOMQNNNPMMNNIKRRMORPOSSKQNPMMQOTOQLPJNQNNLOMJPORMTM
bakri	chalk                                     x1 is a quantity of/contains/is made of chalk from source x2 in form x3                          ah   2    (cf. pinsi, blabi, jilka)	jbo	NHPNNMROMLQINPOQONONROPOSSNLVNPTTJRQLOOMOQSMOOPOOQPMKMSNNROQPQSMTPMLNSMPQORPRNQKJNPPMRPONNLPOOSMPRUONSRNMLKNNQOLQNNOSOOOQNPOLJLOOOKNOMNNMUPONTNPPNLMNQMOMOPOPMRLLNMMPOOOQNPMPMNORMNPPPPLQRLQNSLTMTKNPMMNPOPKMOOQJOPLJRPLPQKMOMNOKSOOKOPNRNPQPNMPNQMLNRNNLSRNOQJLOMOIQJKNNQQQNRQROORMPKQUOQSPPOONQPMQOLRSSONRJPQLPRPSSQNPQMRQQQQOPNKKNQRNPOMPKNNMMQLJOMPOIKQQONMTQORMOOMSMLPMQNLNNNNTPOPOJQOPPOSM
baktu	bucket                                    x1 is a bucket/pail/can/deep, solid, wide-topped container of contents x2, made of material x3   ao   0    (cf. botpi, patxu, tansi, lante, lanka)	jbo	MNPLPKSOONONPNOLPMLOSRNOQUKMULPQOOSSQMOLNLOLNOLNQQPLOPSPLQMPNPSNTNMLLQNQNPNMPNORKQOPHOOONMLPTQRNPPSOMSOMNLJOOQNINMINOOLLPJNONKMOKMPRPOROMRPSJOONOPNONRQNNOPJQORONONONOMOMNRMKLOJPMNRPPRJQPKQOQOPNOPRSPNQSPQLQLQMLMPOGOPQLNJNNLKOORKSPOPOQPNOQPPQOHIMNNORLRRLQPKNRNOIRONMPNQQMNQQRPOOPPPQKSNQQMQTNMLNMQRPQLQONMTMPSNSVORTOPOPJQQONKMNOPOSQOPNKKPPNRNNLNPKLMPOQLMPOORPNQONNOONQTNSLPNRPNQRLOQRQPOP
balji	bulb                 'bulge'              x1 is a bulb [body-part] of plant/species x2; [metaphor: rounded, bulgy]                         aj   1    (cf. punli, batke)	jbo	OOOSOLTQOOTKPOPLNLLPUOPRQNLPOKOSOQONOOSNQONNNOPONLRJPSTQJSPQRRSQMKMMPOOQNNMPOONOJPNQKPSPKPNQORNNSLOQOPTQNJKNOLPKNPNLQQMOQLKPPLIOLRKOMLOOLPMTONPNMQNPKRNMLNRIMPRRQQOKPJJOLPQRORJQRONQVNRPOOMOPMMMPNJOLQONNQPORPMQLMPHLOPQMQQSQMLOMQLQRRINMMOPMNSLQMJRNQJMMRPPMPLLOONOPKNNOOQOMLQROPOQQOLNNPOPQJTQKLOOMQSOOOPPMONORSPMSMMTNMNQMQSONNLMROMQPONQSOPPOQNOKMMLPOKSONRSQNNRPPMOQNQQPPUOMOQPOMHMQQNQOOSO
balni	balcony                                   x1 is a balcony/overhang/ledge/shelf of building/structure x2                                    a    0    (cf. kajna)	jbo	MPLOMMOPQNSMOOOPLONRONOORRKRUPRRQPRQOMMONPOOPQNOMOMPLMRRJRQQPQOQPOMONQONRNONOKNNOMLMNOOQMQPOORQORMNPMSUSILNOKLLMNJKMQMRNQMORMMNONQLQPJMPLTROPNSNROPORPONORSNJPONMONNPMPNJPOQRMPOQOMRLPPMORMNPPKOQOILRONOTTRNJPPPNRTQLNQOLPNOQKOOMRKMMPKLNPOQPNQPQLJPROMNPRTMROIMOOPKNKKMRRQRPNSSPHNQNLSQPOQOTMQQPNLPLNOONKMPOSRNROONTLPSMLQOMQQOJMKJNOONPKPPORLNKPMQPONLLOKQUNPQQPPQRQNMNHNTRRPOMKOPNLNONONMROJS
