@rowCount	2000
w	d	t	g	r	n	s	v
bacru	$x_1$ äußert/drückt mündlich aus/sagt/spricht [erzeugt Laut] $x_2$	gismu	äußern	ba'u,bacr,bacru
badna	$x_1$ ist eine Banane/Kochbanane [Frucht/Pflanze] der Art/Sorte $x_2$	gismu	Banane,Kochbanane	badn,badna	Siehe auch {grute}
badri	$x_1$ ist traurig/bedrückt/depremiert/[unglücklich/empfindet (tiefe) Trauer] über $x_2$ (Abstraktion)	gismu	betrübt,traurig,unglücklich	dri,badr,badri	Siehe auch {klaku}, {gleki}, {betri}, {cinmo}, {junri}, {uinai}.
bajra	$x_{1}$ rennt/läuft auf der Oberfläche $x_{2}$ mit den Gliedmaßen $x_{3}$ in der Gangart $x_{4}$.	gismu	laufen,rennen	baj,bajr,bajra	Siehe auch {cadzu}, {klama}, {litru}, {stapa}, {plipe}, {cpare}.
bakfu	$x_1$ ist ein Bündel/Paket/Packen mit dem Inhalt $x_2$, zusammengehalten von $x_3$	gismu	Bündel	baf,bakf,bakfu	Siehe auch {daski}, {dakli}, {tanxe}.
bakni	$x_1$ ist ein Rind/Kuh/Ochse[/Bulle/Stier/Kalb] [Nutzrind/Fleischrind] Art/Gattung $x_2$	gismu	Rind	bak,bakn,bakni	Siehe auch {danlu}.
bakri	$x_1$ ist eine gewisse Menge/enthält/besteht aus Kreide von Quelle $x_2$ in Form $x_3$	gismu	Kreide	bakr,bakri
baktu	$x_1$ ist ein Eimer/eine Dose/ein tiefer, fester Behälter mit breitem Rand mit Inhalt $x_2$, bestehend aus Material $x_3$	gismu	Eimer	bakt,baktu
balji	$x_1$ ist eine Knolle/Zwiebel [Körperteil] von Pflanze/Art $x_2$; [im übertragenen Sinne: gerundet, ausgebeult]	gismu	Knolle	balj,balji
balni	$x_1$ ist ein Balkon/Überhang/Sims/Regal von Gebäude/Struktur $x_2$	gismu	Balkon	baln,balni
balre	$x_1$ ist die Klinge des Werkzeugs/der Waffe $x_2$	gismu	Klinge	ba'e,balr,balre	See also {dakfu}, {tunta}, {tutci}, {guska}, {kinli}, {katna}.
balvi	$x_1$ liegt in der Zukunft von/ist später als/nach $x_2$ in zeitlicher Reihenfolge; $x_1$ ist später; $x_2$ ist früher/ehemalig	gismu	Zukunft	bav,balv,balvi
bancu	$x_1$ übertrifft/übersteigt Grenze $x_2$ mit Bezugspunkt $x_3$ in Eigenschaft/Menge $x_4$ (ka/ni)	gismu	ferner	bac,banc,bancu
bandu	$x_1$ (Ereignis) verteidigt/schützt $x_2$ (Objekt/Zustand) gegen Bedrohung/Gefahr/Möglichkeit $x_3$ (Ereignis)	gismu	verteidigen	bad,band,bandu
banfi	$x_1$ ist eine Amphibie von Art/Gattung $x_2$	gismu	Amphibie	banf,banfi
bangu	$x_1$ ist eine/die Sprache/ein Dialekt, die/den $x_2$ benutzt, um $x_3$ auszudrücken (si'o/du'u, kein Zitat)	gismu	Dialekt,Sprache	ban,bau,bang,bangu
banli	$x_1$ ist großartig/eindrucksvoll/erhaben in Eigenschaft $x_2$ (ka) gemäß Standard $x_3$	gismu	großartig	bal,ba'i,banl,banli
banro	$x_1$ wächst/expandiert/wird größer bis zu Größe/Form $x_2$ aus $x_3$ heraus	gismu	wachsen	ba'o,banr,banro
banxa	$x_1$ ist eine Bank im Banksystem/im Besitz von $x_2$ für Bankfunktion(en) $x_3$ (Ereignis)	gismu	Bank	bax,banx,banxa
banzu	$x_{1}$ (Objekt) genügt/reicht/ist genug/ausreichend für Zweck $x_{2}$ unter Bedingungen $x_{3}$.	gismu	ausreichen	baz,banz,banzu	Siehe auch {dukse}, {claxu}, {nitcu}, {ricfu}, {curmi}.
bapli	$x_1$ [Kraft] (ka) zwingt das Geschehen von/erzwingt Ereignis $x_2$	gismu	zwingen	bap,bai,bapl,bapli
barda	$x_1$ ist groß in der Dimension/Eigenschaft $x_2$ (ka) im Vergleich zu Standard/Norm $x_3$.	gismu	groß	bra,bard,barda	Siehe auch {banli}, {clani}, {ganra}, {condi}, {plana}, {cmalu}, {rotsu}, {banro}, {xanto}.
bargu	$x_1$ bildet einen Bogen über/um $x_2$ und besteht aus Material $x_3$; $x_1$ ist ein Bogen über/um $x_2$ aus Material $x_3$	gismu	Bogen	bag,barg,bargu
barja	$x_1$ ist eine Taverne/Bar/Kneipe, die $x_2$ an Publikum/(Stamm)gäste $x_3$ ausschenkt	gismu	Bar	barj,barja
barna	$x_1$ ist/sind (ein) Fleck(en) auf $x_2$ und besteht/bestehen aus Material $x_3$	gismu	Fleck	ba'a,barn,barna
bartu	$x_1$ ist außerhalb von $x_2$	gismu	außerhalb	bar,bart,bartu	Siehe auch {jibni}, {nenri}, {sruri}, {lamji}, {korbi}, {calku}, {vasru}.
basna	$x_1$ betont/verleiht Nachdruck zu $x_2$ indem es Aktion $x_3$ durchführt	gismu	betonen	basn,basna
basti	$x_1$ ersetzt/steht ein für $x_2$ unter Umständen $x_3$; $x_1$ ist ein Ersatz	gismu	ersetzen	bas,bast,basti
batci	$x_1$ beißt/kneift/zwickt $x_2$ an der Stelle $x_3$ mit $x_4$	gismu	beißen	bat,batc,batci	Siehe auch {denci}, {jgalu}, {guska}, {citka}.
