@rowCount	3392
w	d	n	t	s	q	g	r	v	b
ei'e	{ei'e} - irrealis attitudinal: competence (ja'ai)\n{ei'enai} - incompetence (nai)	Meaning identical to the old meaning of {e'e}	experimental cmavo	UI1	LNNPPNPOQLTOUONNONLOOTNQOPOLQPOPPORRNQPOOMNKRPLNOOGOQOOONOMORRRRRPOJOQNONROLSQOONSNNMNOLPPNPQPQMNNLNNRLRKNMKNPOJPMNVKQONQONNPLMOPQJPLMMPMPNRJPRTQMORQTPMOQSQJPRPLPNMNPPPLPMPQLPLNQNPTLOJNSNQOMLTOONLROOPPQNIMKQOLRONQNSRSORONPMOTNLRONSQMNLLNROOOMLPTONLKQSMILPNJQONMMJNMOJONOLMQLSMRNPPRLOOSMQRNRSSSRQNOLMOKQPMOLMPOROSSLRNJOOOOMLMONMPQPOONNRQQVPQTRKMNNKSJNQORLNNRNNJOROPPNNPNLNQLPQNQLLOUQQM
ei'i	{ei'i} - irrealis attitudinal: constraint (ja'ai)\n{ei'icu'i} - independence (cu'i)\n{ei'inai} - resistance against constraint (nai)	Meaning identical to the old meaning of {e'i}	experimental cmavo	UI1	JOOPROQNRNUKWNNLNMJQMPNQOOROROMPNRQPKMNNNOSMQPLOLPLPOQQOMNNORQOQQPONOSOOLPPMVPOOMSSOPJPLTQPPRRSMNNLORQNULLMILORMQLJRMPRKONLNNLLONPLKMLJQKPMSKPRQROPOPPPNNPPLJOQPOPMNNPOQKPQORMONMOJPRMQHMQMTNLPTNQKLSPMPOQPNPLRPGQNPLNROSLQNMOQOQOLMOKQORQOMLRROLPLQQPOJOPRNKONNIQMPNNKOOPNPOQMLPKROTNOMPNOMSMPQMQRQRONQPNLNOORKONOQNPQSTPONKPOONKJLROOLPQRRQNMSPQPOQSMNNOMSMMQNOMMRQONJLOOQPQMPOLLQNOPOONOOUOPK
e'i nai	attitudinal: \n{e'i } - feeling constraint\n{e'i cu'i} - independence\n{e'i nai} - challenge/resistance against constraint.		cmavo-compound	UI*1	LOPOQSPNPNQITQNPPNMQNLPROMPPRLOMMQQQLKMOKNRMQQMPJMMOLNQQMNONQOMQNRMOQUNMLOTPSMOQLONSOHLQRPONQSQNPMLQPQNTOKNIOLQJROJOONPMPLNNONNOOPRMMMNQISLSJPSKOQLPPONMPOPKLPMPLPMMPNQPNOQNQRTNMOIRRLRKMQJSOLROQOIJRPNOMNPNROPLIPOQPNRIPOMLQRRONOMMSMPNPUMNORPOMQNRQSLNPSRLNPKOKPMONPMRPNMSQPPKNQPPQMPMMLQLPNMSQQPPNNMRPONOMPRLMORPMQSSPRNSMPPOLOKMPRMLNOQORSLPPPMOORNNMNMTQRRLNNLRNOKLNQNRQQNKQONNMNSROPLRTPNN	challenge
ei nai	attitudinal: \n{ei } - obligation\n{ei nai} - freedom.		cmavo-compound	UI*1	MRMOOTRKQNRMQONNONJPPNPTLOPLQMNNOQQRRLOOLMOPPRNOLOPQKNOPOLPOMRMSMQMPJSLQQRNKRMMMPPOSNLLOSQOOQRPMOLKOPRORMKLLNQPKNMNQKLOJMQNONKROPNNOMOMRKUROLMQQORRROSNNNMMMKQNQMNPLJSPNQMOPRQPNPOMONMQLMTLLOIORQMKKRPMOOPMRPMONJRRSTNTNRPLMNMMOONMQRMOQQULLMRQOPOLQNMOOORQMPPJPMNLLNQKQMPLQMPPJNPNLULROOLRMUSJRQRQPPPNLONJNOPONPMMOLLSRQRQSKNOOMNMPONPMPROQPQMOPLNSNQPJNOMSQRRNMMINKORMPRQSONOPPQKPPNQSROLORROK	freedom
ek zei uanta	$x_1$ is a part of Lojban text representing rule 'ek' according to the first edition of the book 'The Complete Lojban Language'.	Inner structure of the rule: NA? SE? A NAI?. For the description of the syntax see {jarnezi}.	zei-lujvo		KQSNPMSKSNSNTNTQLMMLTSMPOSQOQPKPQPNROMRQMLRNQRKNKQMMMOTNJOOPQRQPPJNMMPNMNRKMUQQNNOQOMPNLRSRMRPMONPOQSPMPMKQLQONMOLLOOPQQLMMPOOLOPPKKLMLOHOPMJOPPOKNNPNOSNTSMNROJPNLNPQOOKNLOJONOQLMNSOQMKSMPPORROLLMTLPQOSMLOQPQLQPQPOSNMOMLOMNOPRKNKKQSQPMNPORMOOLQNLMNMRQQKPMMMOLIPNONPOQRPPQNOKQMRONPNOONONPPPRQPRJNNINLONPRPNNLNRLPTQPNNLPMOKJMLRSQNSPQRKLNPQTOQROLPOQNONNNRSMNORLQPQKLPNQMONLPLOMNPRNQLTUQM
e'inde	$x_1$ instructs/indicates to $x_2$ to do/be $x_3$	See also .{e'i}	fu'ivla		OOSPPMSMRNQKSRSPQMNNSQQPPONMRRMPOTOVRKRMKLPOORPNJNLQNLRRNPONNSPQLPMPMQPLMQLNVNLNJPQPOQKLPPQLKSOPNLLONQONKKPNRMRHPMMSINOPPOMOOKOOPROQMNPOKQQLJQNQMQKPPQOMPORNNOONLQKQNPONROMOPPQLNOQOSOTJOPNOOLQPMMNPRNKQOQKJNMRPPOOQRMSLNQKNONJOOSMOMLSMOOIMLOLNNNNRNOLSNSROOOMOLRMONOLPQNMUNOPMNPOLOMOPNLNMPPPPKNQQOOPPMLLMNKNONOMPMMOVMQMQNPMOJPRKNOPMSLRMKMQKPPMQQPLOOPKTKRRMRNPOQNRPQOMUNPOPMLPMNOPTPTNOSTQL
einla	$x_1$ is a gender role for boys in culture $x_2$; in culture $x_2$, typical boys are obliged to do $x_1$.	From {ei} and {nanla}. See also {eixli}	fu'ivla		NQRNOLQJQNVKQQTNQOLQNPRMMOQLPRMQPONUQLQQKMQLORONLQQNPTQONLONJSPPNMMOMQPOMTMPTLPLNQPQMOLLLUMPSQOOQNKMQRMSJKNKNMQKNKMMOOLKMQNOQLMOPONNMQQNLKOMJONRQPNSOROOPPPPNPNNOPKNRRNQPLKPKQOMNLNPQLRNRPJMQKQRKLQNQLMOPRPOOORQMOMMNMSLROJLNSOOPSNNOKRNRSILKPPMPQKRQONQNOOPNSQNNQNLMPOQQMNUORQLMOMNRMSQPNPQQONRHQNOPMRPOPINLNRQPNONMNPSONNOKNOOMMONOPOOTRLNMLPMROPNUOMNMPMPIOQNNNQPQLSOQKOQLQOQQRPNOJOPNTNNSUOK
einvi	$x_1$ (agent) thinks $x_2$ (du'u/nu) should (moral obligation) be true/happen about subject/issue $x_3$ on grounds $x_4$	See {ei}, {jinvi}, {bilga}, {bigji'i}, {zgadi}	fu'ivla		LOPOQOSLSNTLSUQROOLQQPPNNMRMOONSOQQUNJPRNKQOPSPPKNKQNOROMPNLNRQQOQMOKROMMMNNSPOLLOOQNMLNQOSORTPRLOHPOSJPNMQKNNPLOMRPORLIMQKRRLQOOROKMNNQKSRRKMLQLQMPQROQMMQMOPLSPPJOIRNPNPONPLPLQOQNSPSJOOLLQHNPNLORONPRMOKLNNQOMOMNOQRNSPJMOONOLQKPOIOMSQHKOPOMOMMQOOMPOSSORMLNKPOOONMPOJLQNMOKMLNNQOOPPNROSRONIQOQROQPLMNOMLOPNMPPMLQQPPNQNQKOLNPMMLNNRPSMNMQOOONOTQNMNQNRKPQNPNNPRLRONQOTQOOOQNLMMPQRRRPMRTPM
eiste	$x_1$=$l_1$ is a to-do-list for $x_2$; $x_1$=$l_1$ is a list of things that $x_2$ needs/is obligated to do	From {ei} and {liste}. Compare {nitcu}, {bilga}, {zukte}, {aiste}	fu'ivla		LNRPQLTNPMTMTPRQQMMNQRMROPOKORMRNQPTSJPOKMOMMTKNMMMQKLQRMQLKMRSPLLLONQMONPMMXMLMJOOPMPMOROPNSQQQQOKNOQNONKOJQKPLQKMNMONPPOMNOJNONMPNKNORJQRQISPPOPLNPNNSOPOOLPMPNPLPMPNMPOMPQMOMRMQNOQPINPKRPINQOMPPQONPQTNMQLPPMNMOOPSMONKONNNOOULMNLSKQOGKLMPNOPKRMONOMQQORNQNNQMMPPNOQLQRNOLMPMTLNPPRMMQNOPQTJPONONOQNKLKMLQPMNNNMMRTLPNMPRNOMLOLMONNSNRLLPPMQOQRQMMOPQLVNPTNQLRMPMPRQNMUPOMLONPPOLOQSORNTSQP	to do list;to-do-list;todo list
eixli	$x_1$ is a gender role for girls in culture $x_2$; in culture $x_2$, typical girls are obliged to do $x_1$.	From {ei} and {nixli}.	fu'ivla		OPTPNLRKQOVLSOSNQNLQOPQMMMOLPRKSOQNVQLRQKKQMOTMPINPNMRQPMMPMLRQPNMMPNPOPLSOOULPNMQRTMOKKLSNPRRNNONMMPTMSJLPJOMOLNLNLONMJLQNNPMNOMOOOLRQNMMOMIMORQQNSQQOOPPRPNPNMPOLNPRNPPMLPJQPMNMMQRNRMRNJNNLOPMNPLPMLPRTMOPNSQNOLOQNTKRNKLNROOQSLOQMQOSSJKKQQMQPKRPPOQMRPPNRQNMPNLLOOOPNNTOQRLNOLLQMSQQOPPPOMRHPOPPLQQMPIMLMQRMNONLMPTNNLOKNPOMNPMNONPTRNOMNPNQPONTMMMMPOPIOQMONOPRLROQJOSLPPOPPOOOKOQORNNRUOK
ekcala	$x_1$ is a clown	See also {xampre}	fu'ivla		OPQNMOYOONQITNOPRNNOMNRRNOMMNONLMNTNRQQRLLNNMNKLMOLQPORQNPOPMPSRONOMOQNOQMOQUMOSPOSMNOKOLLQNNQOKRNMWNMPNOOOPPLOJQOPOMPJMURPQRMNOMNQNOQPQKOROJTIUNPLMNOPQOPPNPRLNLOPNONMQONIOMRPOMJMOOOUNQMNNRQKMNNOPSMQRQQMKNMNQPPMKNMRMOMKLONLOMTNOPKURONJLMOVOSPLSOPJSLPPOOPHNPNOLKMLONKRQPQOPPNKLPMRQLMOPQPOSPPLMMOSPMOMOJQRPMLRPNOSPKPNQPOPOQOPMOOPLQPPQPSMNPQNONQOMNQNRKSMMLNOOOMSLPOQQPPPLKONKOMOMQSLPRPUL	clown
ekfu	$x_1$ is the return value of a function without body (with possibly more arguments)	$x_1$ can be void. Two main interrelated usage cases: 1. wrapped into a sumti and used as a dummy predicate to fill in arguments of higher-order functions with stricter typing of its argument, for which {ekfu} is used. Similar to the concept of object in object-oriented programming. 2. as type-signature template.	fu'ivla		OPPRKLRPSMSMQORNRJOQRQKONNKKTPKRLQOTSLOPKMPORQLMNLPSKPRMNMKKPRSNRMLLOSNNLTNOVNOQOPMOPSLPQQOPPRPLQNNRMSQMONOLQMOJOJKOMMNMQPMPPKNOMPPONNPNOQNMLRRQQPMOQPOQPRQMKOONPOMNNOPONOMNRKRNNKPPSROLPQJPNMQOKLMMQPQONPQMNJQPOPOPOQSMPLJOLNPONSLPJMRNQPMKOPRPKLLSNMQNLRPOPPOOONOKQNOLQOTQMNNLQMPKOQMRMMQQOMQPKOOMOKORLNMRNMSRNOPPNLNSKPMPNQMOKMRJLNOJSMONLKPPOQMOQMMLPQPWMOSRTQNRUONOQNMPOOOOMMOOKOMSOONNSSSN
