@rowCount	3394
w	d	n	t	q	g	s	r	v	b
banturucu	$x_1$ is the language with ISO 639-3 code ''trc'' (Copala Triqui).	Triqui Copala Triqui language	fu'ivla	LLLMKOSNRMVMOOQLMLQKRPNRQPNRUPLTPRQQNKPQJMQNPOLQMOMPNQMMPPNRLSQROOMLOMLMOSMPRNNMOQQSQPMOPNPPSTJQQQMNQQLNNORNSNJNNJJQMMRONOKNPLQOPTPQKLOKIOOLJQPRMNPOOQPNRUOOQRPOPOPMNOLVRNNNQNPNNMNQNPRLPPOPQNQPOMKMUNLORROLPLPOLNPQOORMMNNQPNMOOPKLIJUOQPRJOOSQQPNSOLNONORNPPNMLSLJONNMPLOQOMQKLNWKPORPKKPMQPMNRPOROKPNKOKLKPOPMMNPOPMTQPNSPOOOMLMMQOMMQQQPLNNNMTROPPPNKQORPLONOKPRSLOPUPIPSONMPMOMNPRNNOOPRSPM
banturudu	$x_1$ is the language with ISO 639-3 code ''trd'' (Turi).	See also {bangu}	fu'ivla	LKNNNLRLQMWMPLPNKMPKOQNQTOPORONQRQRSOLOOLMSNPPMPLNNQNQNLPOMPNSQQPOMLMONNNRLQTMNMNSQSQQMOOQPPRRLOOQLOOSNOKNPLOMNJOJMQLNNOMNNNNMPOPROMMLLNHPMLIPQQNPOMNQNPQSPOQQPPOOMMMPLUSOPOOOPJPLMQQOUHPPOROORQMMNLRPKQSRNJPJPNKMNPQOQPOOMNNNMOLQKLHLSSPORLMQVNRONPNNLPOQSPQPNOLVKLQNMOQMPSNNONLKWMRNSRMMNNPNOOOONSLKOOKPNMMQRQMNPQPONSPPORPPPOMJOKPPOOPNQQLNPOMSPPPQOMIROSNLPLPNPQQKORUNJPQQNNMMNOPPPOONNQRSPO	Turi
banturu'e	$x_1$ is the language with ISO 639-3 code ''tre'' (East Tarangan).	East Tarangan language	fu'ivla	NONLKLOKQMVNNRRMMNPLSQSPTPPRTPLQPPNSMMRQILQNOOLPNLPOMPQKPQKRQROPMOMOLLNNORMPTOMNPQQRQPNQPOPPRRNQPRMPQOKONMONRLLLNKKOMOQOLRLORMPOSTOMNLMLIOOKKQPSOONPOQNONSONNPNLMNNMPOMRVNNRPNOLPNNQNQPKSQNONLSOPKLOUMMORSMOOMQRLONOQPPKPPLPNMOOOSIKFLSSMNPLRPROQSQQNOJPPOQPQOQLLTLMPMLPQONSNOPMMLVNQOSPLNPNOONOOQNORJOOKOMPMQPPLLNNOPOTMMPSNQPOOLMLPQOLPOPOLONLPTQNOPOMLROSQLPOPMOQOLRPVKJQPPONNJQQNMORONOORPNL
banturufu	$x_1$ is the language with ISO 639-3 code ''trf'' (Trinidadian Creole English).	Trinidadian Creole English language	fu'ivla	PILNNMPKSNWQNMROKLPJQQPQQMNOTOMTQRORMKORIIRPPNKRMMOPMOMLMRQQNTPRMOMOMNMMNSLRSONPQRRRPOMQOPOPRSMQRPNQQONPMNNNSLMLLKNNPPRMNQLLNNROQTNMNJNLJRRMIPORNOOONRPPOROLOPNNNNMKOMLSRMOONMRMPMOOMNSMPRQPOMUMPLLMTLNNSQQPQMQNKQQQOPONOPJOOOPOMQMNKLTRQPQJOPUORRMSMNMSOOQNOMNOOSLLPQLQQNNRLOQKOLUPOQQQMNNMONNNSPMPOKQNKNNMLLQQOMMNPPNSQPPRKNPONNMLONONPONOLLMOMTQORPPOJPPTRKOOLLOPPIPRTOKONPLPMMPNLPQNPOOOORSI
banturugu	$x_1$ is the language with ISO 639-3 code ''trg'' (Lishán Didán).	See also {bangu}	fu'ivla	LMOMNKRLRLVOOMPOLOOKRQPQUMPPUQMSQQNTOKNPMNTMONKOKNNROLPKPQMPMTOOOOMLONMNNQJOSONLOQQTNQLQOOQQPTMQRPMQQQMPKKPKPKPLPMMOMNOOLQMPNKRONRQKKKMMJQPKHOPOPPQNNRONQSROOPONOQJNJNLSSNNMPQPLOMMQPNRJOPORPLQQPMMMRPNORSNMNMNPLOOOOSQMOQKLMPOOLQKMJLSRPQRLNNUOQRNRNNLQNOTOOOQNMUMIPPOONNRROQNLNJTNRMSSMNOLMOOOONNQNKROLNKOMPQOONOPNOPTPNPTNNOOKJMKNQOQOPPNJMMKLSPOQPONKQNRRMQNONPQQKRQULNQOQNMOOPMNMQPNONPSRPM	Lishán Didán
banturu'i	$x_1$ is the language with ISO 639-3 code ''tri'' (Trió).	See also {bangu}	fu'ivla	LLLKLOPLRMWLPNTMKNOLRPPQRQNOTOMRRQQRMJNTJOSNOQKNNMOONPPLQQLROTQQNQMKLNLMOPMPTNNLNQPUPQKPMPNQQTLRQPMORQMNNOPMRNMKOJJQOOSPPNNLNMQOOTNNJLMNHMNLKQNQOONOOPOOPVPMPQPNOPMNMONURMONQPOLPKOQPRQKNQNONOSQPNLNSPLNSROLPLQOKNQOOOQNOOMNOMMONSKJKJRQOQPKONUPQPPSPKJQNQRNQONLMRMLNPLNONPSOPQMLNTKPOQQMMPPOOQNPQMQNJPPKOJMLPOPPOOROOPVNKNSOQPONMOLOOOOONQNLLPNOSQRPQPMKTPQNLOOPONPQMQNTNJQRNNMOKNNNQQOLOOORQRN	Trió
banturuju	$x_1$ is the language with ISO 639-3 code ''trj'' (Toram).	See also {bangu}	fu'ivla	LMMNKNRLQNWPOMPOLNPMQPPPRPQPUOMQOQQSMJOPNMQNNPNPLMLQMQMLOPLQNTPRNONNNNNNPRJQTNNNMPQRPPMPOQQPQRLPRSLPPPMNONOLQMLLMKMNOOORNNMMLMPOOROLLNMLGQKMIQPPNQQLOQOLOTSMNROOLNOMNNKQTMNNPOPJPMMPQPTIPPPQMORPPMLNROLOSSLLOKOOLNPOPQQPOQOPMNLOKOJMIKSRNOPLPOVMQOOPNNIQNOSPPQPNLVMMPPMPRLPSOMOKMMVMRNRQILPOQLOMPONRLJRPKNONLPQOPOOPPPPTONQSMQPOMLOMOPNNPORPLQPNKUQPQQQNLROSQLPNOONRRNOQTMKQOQNNLLOONPPPONMPQQOO	Toram
banturuke	$x_1$ is the language with ISO 639-3 code ''trq'' (San Martín Itunyoso Triqui).	San Martín Itunyoso Triqui language	fu'ivla	MMNOKPSMSMULONPMLMPKQONPSPOQTOLRRQRROIPQJNSNPOKPLNKPOQOLPPMPOTQQOPMLNNLNNTMQSMNMMPPTOQJOPPRPQQLQOPNOPONNNNRLQLMLNKLRPOOONOJNMLPOPSQMOKPLHQNLJPOQLMONQPNORTRNPQLOMMOKNOMURNONPNQKPKNPOQSMQQNQQMRPQNLNSOLNSPNLNLQNLNQPOQSNNPMOQMLOMPJMIKSRROQKPNTQRQMQMMMPMOSQPRNLMQLKPNOPPJPUOQNKLMUKPQQQLMMNMPOMQQOPNIQMJOKOKPQQOMNQQONTOPNSONNOMKLMOQMNQQRNMONMMSQOQPPLLTORPNOONNOQPKQOVPIRQQMMONOMNQPPNPNPRRQN
banturulu	$x_1$ is the language with ISO 639-3 code ''trl'' (Traveller Scottish).	Traveller Scottish language	fu'ivla	NILOMLTJRMUQNNPOIMPLPQOSRPPNSRMSPRQTNMMOIKRPPNNQLOMQOMMKMPNQMSPPNOLLONMKMRNPSNNONONTRNMONQROSRNQQSNQNOORLMOMRKNMMNPPMQSQLTMOMPTONUOONKNNLPRLKPPQNMRNOOPPORONQRNNOMNNNMLUOLNOMOPMMONOONRKPRQPROTOSKNLPOMSRQNPNORPJNOQOORLOOMNONMONOONHMUPPPPKPOVMOSPRNNMONMRNNMOQPPKMPQNOONOROOPNOKXPPORQJLPMMMPMRNLRNJQKLPMLNPRPOMNPPMPTQQPRMNOOKMNMQPNPOQNOLMLOLSRPRPONJQQRQJMONMNONKOSROKOPPKOKOPORRPPOMMPRRPK
banturumu	$x_1$ is the language with ISO 639-3 code ''trm'' (Tregami).	See also {bangu}	fu'ivla	NKMLLMTNRMVNPNRNNMRKONPPRMNRSOLSRRPTKKNPKNSNPPLQJPMRNQPNQRMPOSOQMONOOONNPQKQRMMNNQQQPQNQPQOPSSIRQPLPOQPONOOOPLLLPKMPNOPROQLNNNROPSPMOJNOGQNMJPPPNQQNNPONMSPORQLNOMOMLOKTSMNNNKOKONMOPPRIOPNOOMRPNLONQMMOTRPMNJNNKMMOOQSNQPJOOOOOKQKLIKRQNOPMNOSNRPLOOLKRORSPQQOONVLMRONNQLPTNPPKNLULQMQRKLOMONOOQONSLJNPKOMMKPQMOMNPONMTOOOTOOQONLNLOQMNRNQPLPOOMRPOPRQLKQNTNLQOOPQSQLOQUMHQOPNMOMOOPOQRPONOQRQM	Tregami
banturunu	$x_1$ is the language with ISO 639-3 code ''trn'' (Trinitario).	See also {bangu}	fu'ivla	KLMMLMRNPMVMONPMKMQMROORQQOPTNMSQQQSNJPSLMROPPMQMPLONQOLQPLQPSQPPPMKMOONNQIPUPMMOQQSQPJPOQQPTRKQPQMOQNLONOQKTNLKOKJSNORQOONOOLOOOSONLLLLIMNMKQOQOOONOONOOVPNOQNNQOPLNPLUQLLORMPMPKMQOOQLNQONQNTOONMMUOKOTSPMOLOOLNQNOPRNONMNMMLOMQJLHMRPORQJNNVQQQNONLJQMPRPROLMMRNMOONOQMRRMNOJKMWLQORRKOPOQLOOPPLRMLPPMQKNLNPNNNOOPOOUOMPSNNOONKNNRQNNONQNLNPOOTRRQQOMJTPSOLOOOMMSQMOPTOJQPNNLOMOOOPQOOONQRRRN	Trinitario
