@rowCount	3393
w	d	n	t	g	r	q	v	s	b
tendo	$x_1$ is the tendon/ligament/sinew attaching body part $x_2$ to body part $x_3$ in body $x_4$	see {xadyskoterjo'e}	experimental gismu	tendon	tendo	KOOPNNSQRNVOSQONMQLPOSNPKOPPONJRKRMPPLMPOLPKPUNROPNOOSRQKLLOSQQQNLQMMOONMQPOTMQPKOPRLSMOLQOMPOOOPNKOOOTRLKLQROPONLMNMQOPRPKOLLMOOMPJHNMNLMPNLSNPKQLOPQPONNPMKOOQNNOKPMNOQKKMPNPOQLQQVMRNNOJQNKPQNOLNPNNMSTMNMUPQMOPOQPRKMOJOLRPOLROPNMQSPQNKJLRRNOKSPMOOQOPLNPMLNMNNNNPMTNTRNNOMLQNOSLPNNOPMNMOPOQOLLOOROMPLMLMQMMNNOLPVONNRLPPOPOPJORQQQOOPQOQMKRNJSOSQNOMQJOTLNMLRTMNQOMQTPMPPNMRNOLJPSPOQQSSQ
tembalvi	$x_1$ is in the future of/later than/after $x_2$ in time sequence, separated by an interval of $x_3$	See {balvi}, {temci}.	lujvo			LOUQQPONXOWNPQROMJNLOQMRQOPOQTOQMOMRRMRMLKPOOQMNJOJPNMPRONMJNQOMNPOOPROOKPMQUPOMOQPNMOMOONRMOUONPQRPOPLPNMOLPMPIPLNSMPRONPLONLQOOKLLMQMPLLOJINNMOOPONKMNPSRMMPNQLONTPOPOPQLOQLQNMMQOONRJOOKRQNQMMMOPROOPQPPLRQQRNMLQROWNONHLRRLORRNMMJQROPMNPMOOTKLRNMNQOORPKPKKPOMMMKOMQMNQNPNROQRNSOPRONOPONSMNOOPRMSRJOLMMQSOIQPMKOQQNLLPMOPONNPLPNPOSMVPOLLNNLPOPQQLMQLRKPQOPOPNRPOPPLKSQIPPMMOQOMRQPOKOQQOO	temci;balvi
temcimni	$c_1$ is eternal/everlasting.		lujvo	eternal;everlasting		NQRRPQPJWNUMQPPPKKMMRQOPPPNMTPKNKSORRNNMLLOLRQMMOPLNPPRRMNOONTSQNOMQLSMQLSMORMOSONONNRLMOONOPTONNMMOPPNRNLOOROPIOOKRLNMQORNRMKSOOOONMQNQLNNPIPROOPPNORMMMOTPLONNNOKNNQNPNOMLOMOOLJPOPROLORMPNLRPOMLLQPQMUSNILPQSLNPNSOSJPPONUKIOPQORNMKTLMLLNQRNRNLSNMMPPQTQNOMNKNPNQNOMPKKRONLPQQONQLNNNMNLPLQQNPQSONMPHPLQNLRMJOMONKPUOPMLJLQOLONONNTMRNQTLNLNOPPRNRPLLONQONPOOPPLQMPNSOLQOMRPMOPOMNRPPSNQVPSN	temci;cimni
temda'o	$d_1$=$t_2$ (point in time) is far/distant in time from $d_2$=$t_3$ (point in time).	Cf. {darno}, {temci}, {zu}.	lujvo			OOQPQNPPVLXLSPSNNKMNQPMSPRONQTLQLPOTSMPNMMRNPSNPMOKRKNRRMONJOSQONLLNNRMOLQNNUPRPNQPOORMOPMPKOTOLQSNOPRKPOMOMQLOHOLNPLNPPKOLOOLSONONKMOKPLPPKJOPQOOPMNMJOOPPPMPOOLOLPOMNPMOLNQOOKMKQPROQLORJQPLRNNLMQRQQNSOOKRORRJMNNNOUOMMIOOOJONSMNLLQRQPMJNLPPSNKTPJMONQRPMNKNPNJONLMLQOOSOQNONPQNRPNQLNNOOKQRMQOQQLRSLOKONQRPKOONLMQRNMMOMOPOMPPKNOPLUORNLMNPPNPSPRPNMRNSPKOPQNONQPMROLKRQORQMNQTNLOPPNLOPSPO	temci;darno
te me'a	{mleca} modal, 3rd place (relative!)                less than in property ...		cmavo-compound	less in property		VSOLOPPPQPOLTNOPRSIOQLPQQOLOSNMPONQNNOQPNPRMMUNONMNSNNNQNLMOUROMSKNOJQSPORPORPQNMLNPNKNJRQONPRNPNMNRMTOLOMLPONQOOPNMTOQKOOMOONPONOPNPOKPLRPOQLRMNMLNMNMONMONKMOPQNRQONQRMLPMQNUPMQNPMPQLOOONLORLNKMMRPNQPPSPPORKKRPROOROPNOKNNOOMMRONJSMPOOPSLOSQKPOPOPUKNOOLILMNLMLOKMQRPQRPPPKSQPLORNPOPQSNUQTNRMVQLONNLLPSQQOORONLONNOOKSSJMOJOQPQORSNPRQNNPMMKMQOPPOPNORPPQQSOPPPRKNJHLQQLOKQGNOOPMLNOIPNOOR		BAI*
te me'e	{cmene} modal, 3rd place                            as a name used by ...		cmavo-compound	as a name used by		NLMOIOUNSMRPQNOOQSPMQQQMTMJRQMLQSNNNINNPONPKNPQPPPNNMRNONMMPPUNQSLNMKSRNSNNPPSOOQRMQJNKLNMMLQOQNPQPQLSJNNMMNQQMNKMJQPMSJMRMKMSQOMPOQNKLOMNRLUNPRPPMPRSPONOOKQOTLQMSQSNOTOMKPPPPPRQOORQNPNRLLMNORNMOPSQMNOQUPNOPLLNMPMPRJMMOPNQKOMOPOMKPMPQMNRNTQOKKPRMIPQPNKLNNNOPNPPLMPPRNRNPKPSNNKKPRQLMORPQSRPPIPNMNQMMLSQRLPKPOSMMTQMKPONSLOMPQSOPQPPQMMMJRLOSLOMPPNNRPOMNNQQPNPPOONLOPRPNLPRHOONQOPNMIKLPRS		BAI*
temfa'o	$x_1$=$f_1$=$t_3$ is the expiration / end of lifetime of $x_2$=$f_2$ with lifetime $x_3$=$t_1$ from $x_4$=$t_2$ to $x_1$; $x_1$ expires; $x_2$ has a lifetime (possibly infinite).		lujvo	end of lifetime;expire		MPQRONPOUNVLTPQQKKLQROLRNPMKTSORLRPTRMRMLKPMOSLOMQLOKPSOMNLMMQQNLNONPRLNKQMQULNOLNQNNQLOQNQPQRQNOQMNNMLNNKNPQNOIRMMSKOQNNQMOMKTOLNONKQNQKNQNHPPPPPQMPMMRNRRPJOPOMNLOPRONMOOPONQNPJQOQSOKOOJPQLROOMMQQPQNTPNIPOQSMQMOQQQLOPLMQPLOMVMONLPROOMMKQOOQNLQMLIPORQQQOMLNNMKOMNLRMPQRMMNRMRMQOPONPOMOMQRIQPQNLRQJMMPLMRNLOMPMKQRLOMOLMOOPPRJONRMTNTPMLKOKMQRNNPMMQOUMLPPSNPLNNORPKMRONQPMNPPMMMONSPPSSRP	temci;fanmo
temfesti	$f_1$ is a ruin that has decayed from time/event $t_2$ to time/event $t_3$	from {temci} {festi}	lujvo	ruin		NPVPQNPNUQSNPNPOKMNPOPKQPPNNSPNNMQQUPMQMLNQNNQPONQQQOPSPNNNNNUONQNOPPTNMKOLNRMLPNOQLMRLMRNNPQSPOOPPPMRMQOLMOPOPIQJNPJPMPQPJOLLTOONKLPQMOLORKGLNPNQNMLPONPQQQKPNQLOMOOONOJNKNPMRNKLQNOPOKSNNRSNRNNNNOSOOQQQOKOPQSJIPNOQTKNOIKTNLONOKPLKLSMOKMLNOOVMLQNOJNORQOPPKMLOMNOLOLRONTPOORROTMROPRQNLOMPQSMOMPONQUIONPNQQOLPONPLLRNOKNKOOOOQPKPJQQTNOQLOKONOMPONQLMPNQNMQOQOQNRLNPPMPSPNQNNMQONLOOQTPOSORO	temci;festi
temjudri	$x_1$ is a point on time axis, of event/state $x_2$, in system $x_3$.	{temci} zei {judri}. Both date and time may be $x_1$ all together. See {te'i} for BAI. See also {detri}, {tcika}. ex.) li re no pa mu pi'e mu pi'e ci no pi'e re no pi'e re vo cu mentu temjudri su'o nuntumdesku u'y ty cy xi ma'u so (There was an earthquake at 2015-05-30 20:24 UTC+9.) / li re vo mu ze pa ze re pi so ze mu cu temjudri su'o nuntumdesku la juli'us (There was an earthquake at 2457172.975 of Julian date.)	lujvo	point		MMRROPSMVMVNTPOMNMNOQOOPPPNPSQOTKPOQRINNNLRONTOOLQNRMPSRPRONKTQNQNNOLPPPMNKOTNNOOOQOPRLPRNQQPRQOOOOOPRLQPNNMOPOIOINPMNONJNINNOPOPRNLNPKMNNOLLNNPOMNNMOKNQQOOJOPOMOPMNPLOQMLNRNOIRKQPNOQNPOLOQKPOPMNQTSPLSPONQNQTMLPMOPQNNLJNSMIONUMPMIOQQPMKNOOQQNKRKLNPNQTKPPLKMQMOPKNLNOQPLSOMLOPNONQNOMJMPMNMJSSNONOQIOKMMRPNLPKPMOMRRLLPMPQOOPMLOLONSRROJLPRLNQNRQPPLRNTNNPMOMOMSMPSROQSNRPNOONQNOOSQPQKQTNK	temci;judri
temkluza	$x_1$ has time to spare; the time from now to when $x_1$ can no longer come closer to completion is long	See {temtagji}, {temci}, {mo'ulno}	lujvo			MNTPSQPMRNTMQNROMLKMPQNSNOMLSQMRNQRSOOQNLMQQOPMKNOJOMOSRMOKOMQPMQNNOMWMRJRNQUOPMNQOPKNLNQMQLOTNNQPIPOSNOMNOPONQJQNMRJMOQPRMONLSOMPMNOPMRJNNLHONMPROQPKNNPORPNPLRKPLNONNPLPLPQMQLKOPPOORLOOLPRKQPQQNOQPNOOOOJQMRQNMNMRLUJOOHMROMOPONOQJNUNMKLQOOPUMMTTIKNMRPOLNLKKNONNNMQQKNQOQOOPPTKRNPONMONNNQOPPQPONQRHPLQMORKMPOMNORSONOROPNOOOMKTMQPSQTPOQONOLOPPOPLKPMTLNQONPPLROONOOMSPKQPMNPNQKQRPRMPRPOP	temci;kluza
temli'u	$x_1$=$l_1$ is a time traveller travelling over time interval $x_2$=$l_2$=$t_1$ from $x_3$=$t_2$ to $x_4$=$t_3$ with time machine/time travel device $x_5$=$l_3$	cf. {temci}, {litru}	lujvo			NMRQOLSOSLWNTOQONLMOOOMRNROMSSKRJQNRRMPNOKQNOTPNIPMRMMPQOQMNMQROKOJNPQNNMQMLVORQLPNNNQMPOLPMRSOMQSNNOQLROMOMRJMJNKNPJPNPKMMMPLTONRNLMPLQNOQMHRNONOQLNLMRQNQPMPNOKMKOPONOLMMNMNPKNMPPRMPIPQJPQKRPPMOQQPOMSQOLPQQRIMNKPRQLOLLOPRJONRMNOLRQPPJKOMPOQOKUOKLMNRSQPOLLPPLNOMNLRNPSNRLNPMTORPPQMMOONJQSGOPNNMRSMOMMNPPONNNPKLRRMMNOKROOOORJOMONTNSNMONONMQPQOQNOSMRPKNPPNPOQNNRPLKSPOPOLNPQPOOPPPNOQTQM	temci;litru
