@rowCount	5744
w	d	n	t
google	googlar, guglar	(to search for on the Internet)	v
Google	[object Object]	(Google (in other scripts, the trademark may also be written in Roman letters))	prop
googol	[object Object]	(1 followed by 100 zeros)	num
googolplex	googolplex	(ten to the power of a googol)	num
go on	acontecer	(happen)	v
goon	[object Object]	(a thug)	n
goose	[object Object]	(a grazing waterfowl of the family Anatidae)	n
gooseberry	[object Object]	(fruit)	n
goose bump	[object Object]	(raised skin caused by cold, excitement, or fear)	n
goosebump	{goose pimple}		n
goose flesh	{goose pimple}		n
goose pimple	[object Object]	(bumps on the skin)	n
goose skin	{goose pimple}		n
go out	sair	(to leave one's abode to go to public places)	v
gopher	[object Object]	(a small burrowing rodent)	n
go postal	surtar	(behave in a hysterical, angry or irrational manner)	v
Gorbachev	Gorbachev, Gorbatchev, Gorbachov, Gorbatchov	(Russian surname)	prop
Gordian knot	[object Object]	(mythical knot)	n
gore	chifrar	(to pierce)	v
gorge	empanturrar-se de, devorar	(to eat greedily)	v
gorgeous	[object Object]	(very beautiful)	adj
gorilla	[object Object]	(ape)	n
Gorlovka	{Horlivka}		prop
gorse	[object Object]	(evergreen shrub)	n
gory	ensanguentado	(covered with blood, very bloody)	adj
gosh	meu Deus, nossa!, poxa, puxa	(mild expression of surprise or enthusiasm)	interj
goshawk	[object Object]	(bird of prey)	n
gosling	[object Object]	(young goose)	n
gospel	{gospel music}		n
gossip	papear, bater papo	(to talk idly)	v
gossiper	[object Object]	(one who gossips)	n
gotcha	te peguei	(gotcha)	contraction
Goth	[object Object]	(member of the East Germanic tribe)	n
Gothenburg	Gotemburgo	(city on the west coast of Sweden)	prop
Gothic	[object Object]	(extinct Germanic language)	prop
go to bed	ir dormir	(to lie down to sleep)	v
go to sleep	{fall asleep}		v
go to the bathroom	{go to the toilet}		v
go to work	{work}		v
gouge	ranhura	(cut or groove)	n
goulash	[object Object]	(A stew of beef or veal and vegetables, flavoured with paprika and sour cream)	n
go up	subir	(to rise or increase)	v
gourd	cabaça, porongo	(the dried and hardened shell of a gourd fruit)	n
gourmet	[object Object]	(gourmet; a person who appreciates good food)	n
gout	[object Object]	(arthritic disease)	n
govern	governar	(to exercise sovereign authority in)	v
governance	[object Object]	(the process, or the power, of governing; government or administration)	n
government	[object Object]	(body with the power to make and/or enforce laws)	n
governor	[object Object]	(leader of a region or state)	n
go wild	{knock yourself out}		v
gown	[object Object]	(woman's dress)	n
goy	[object Object]	(non-Jew)	n
grab	pegar	(to make a sudden grasping or clutching motion (at something))	v
grace	graça	(free and undeserved favour, especially of God)	n
Grace	[object Object]	(female given name)	prop
graceful	gracioso	(showing grace)	adj
gracefully	graciosamente	(in a graceful manner)	adv
gradation	{apophony}		n
grade	gradian	(mathematics: gradian)	n
grade crossing	{level crossing}		n
grade school	primary school	(elementary or primary school)	n
gradient	[object Object]	(rate of inclination or declination of a slope)	n
gradually	gradualmente, pouco a pouco	(in gradual manner)	adv
graduate	graduar, formar, diplomar	(transitive: to certify (a student) as having earned a degree)	v
graduate student	postgraduate	(university student working on a master's or Ph.D.)	n
graduation	[object Object]	(the action or process of graduating)	n
graffiti	pichar, grafitar	(create graffiti)	v
graffiti bomber	[object Object]	(artist)	n
graft	enxertar	(to join as if by grafting)	v
Graham biscuit	Graham bread	(bread made of unbolted wheat flour)	n
Graham bread	{Graham cracker}		n
grain	[object Object]	(unit of weight)	n
gram	[object Object]	(unit of mass)	n
-gram	-grama	(something written)	suffix
grammar	[object Object]	(study of internal structure and use of words)	n
grammary	{grammar}		n
grammatical	gramatical	(acceptable as determined by the rules of the grammar)	adj
grammatical alternation	{Verner alternation}		n
grammatical case	[object Object]	(mode of inflection of a word)	n
grammatical mood	[object Object]	(in grammar, type of the relationship)	n
grammatischer Wechsel	{Verner alternation}		n
gramophone	[object Object]	(record player)	n
grampus	orca	(killer whale)	n
Gramscian	gramsciano	(of Antonio Gramsci and his works)	adj
granary	[object Object]	(storage facility)	n
grandaunt	[object Object]	(the aunt of one’s parent; a great-aunt)	n
Grand Canyon	[object Object]	(large national park and gorge)	prop
grandchild	[object Object]	(child of someone’s child)	n
granddaughter	[object Object]	(daughter of someone’s child)	n
Grand Duchy	grão-ducado	(a dominion or nation ruled by an grand duke or grand duchess)	n
grand duke	[object Object]	(ruler or monarch of a grand duchy)	n
grande dame	{doyenne}		n
Grand Exchange	{Columbian Exchange}		prop
grandfather	[object Object]	(grandfather (from either side))	n
grandiloquent	grandiloquente	(overly wordy or elaborate)	adj
grandma	[object Object]	(grandmother (informal))	n
grandmaster	{Grandmaster}		n
Grandmaster	grão-mestre, Grão-Mestre	(highest title for chess player)	n
grandmother	[object Object]	(mother of someone's parent)	n
grandnephew	[object Object]	(grandson of a sibling)	n
grandniece	[object Object]	(granddaughter of a sibling)	n
grandpa	[object Object]	(grandfather (informal))	n
grandparent	[object Object]	(parent of one's parent)	n
grand piano	[object Object]	(type of piano)	n
grand prince	[object Object]	(ruler's title)	n
Grand Prix	[object Object]	(any of several international races, especially one of a series for Formula One racing cars)	n
grandson	[object Object]	(son of one's child)	n
granduncle	{great-uncle}		n
grand vizier	[object Object]	(greatest minister of a sultan)	n
granite	[object Object]	(type of rock)	n
granitic	granítico	(of, pertaining to, or containing granite)	adj
granodiorite	[object Object]	(intrusive igneous rock)	n
grant	conceder	(To give over)	v
grape	[object Object]	(vine)	n
grapefruit	[object Object]	(a large, round tart fruit)	n
grape juice	[object Object]	(grape juice)	n
grapevine	[object Object]	(the plant on which grapes grow)	n
graph	[object Object]	(mathematical diagram)	n
grapheme	[object Object]	(fundamental unit of a writing system)	n
graphene	grafeno	(large-scale, one-atom thick layer of graphite)	n
graphical user interface	[object Object]	(type of user interface)	n
graphing paper	{graph paper}		n
graphite	grafite, grafita	(form of carbon)	n
grapholect	[object Object]	(a written variant of a language)	n
graph theory	[object Object]	(study of networks of nodes and vertices)	n
grapnel	{grappling iron}		n
grappa	[object Object]	(Italian grape-based spirit)	n
grasp	entender, compreender	(to understand)	v
grasp all, lose all	quem tudo quer tudo perde	(one who wants everything, may lose it all)	proverb
grass	delatar, dedurar, alcaguetar	(to inform on)	v
grasshopper	[object Object]	(an insect of the order Orthoptera)	n
grassland	pradaria	(an area dominated by grass or grasslike vegetation)	n
grass snake	[object Object]	(Natrix natrix)	n
grate	ralar	(shred)	v
grateful	agradecido, grato	(showing gratitude)	adj
grater	[object Object]	(A tool with which one grates)	n
graticule	{reticle}		n
gratis	gratuitamente	(free, without charge)	adv
gratitude	[object Object]	(state of being grateful)	n
gratulate	{congratulate}		v
grave	[object Object]	(excavation for burial)	n
grave accent	[object Object]	(grave accent)	n
gravedigger	[object Object]	(a person employed to dig graves)	n
gravel	[object Object]	(small fragments of rock)	n
graveyard	[object Object]	(tract of land in which the dead are buried)	n
graveyard shift	{night shift}		n
gravid	[object Object]	(pregnant; now used chiefly of egg-laying animals, or metaphorically)	adj
gravitate	gravitar		v
gravitation	[object Object]	(fundamental force of attraction)	n
gravitational interaction	[object Object]	(gravitational interaction in physics)	n
graviton	[object Object]	(a hypothetical gauge boson)	n
gravity	[object Object]	(resultant force on Earth's surface)	n
gravy	[object Object]	(sauce)	n
gray	acinzentar	(to become gray)	v
gray short-tailed opossum	[object Object]	(gray short-tailed opossum)	n
gray tape	{duct tape}		n
gray water	[object Object]	(non-potable, but non-toxic water)	n
graze	arranhar, raspar, ralar	(to rub or touch lightly the surface of in passing)	v
grease	engraxar, untar	(put grease or fat on something)	v
grease payment	propina	(bribe)	n
great	[object Object]		n
great antshrike	[Brazil]: chorá-boi	(Taraba major)	n
great-aunt	[object Object]	(sister of one’s grandparent, aunt of one’s parent)	n
Great Barrier Reef	[object Object]	(Great Barrier Reef)	prop
greatbrain	{cerebrum}		n
Great Britain	[object Object]	(the island)	prop
greatcoat	[object Object]	(a heavy overcoat)	n
Great Dane	[object Object]	(mastiff)	n
greater	maior	(comparative of great)	adj
greater galago	thick-tailed bushbaby	(primate of the genus Otolemur)	n
greater good	[object Object]	(benefit of the public)	n
Greater London	[object Object]	(City of London, Westminster and 31 other London boroughs)	prop
Greater Poland	[object Object]	(region of Poland)	prop
greater scaup	[object Object]	(Aythya marila)	n
greatest common divisor	[object Object]	(largest positive integer or polynomial)	n
great-grandchild	[object Object]	(The son or daughter of one's grandchild)	n
great-granddaughter	[object Object]	(the daughter of someone's grandchild)	n
great-grandfather	[object Object]	(father of grandparent)	n
great-grandmother	[object Object]	(mother of one's grandparent)	n
great-grandparent	[object Object]	(parent of a grandparent)	n
great-grandson	[object Object]	(son of a grandchild)	n
great-great-grandfather	[object Object]	(The father of someone's great-grandparent)	n
great-great-grandmother	[object Object]	(The mother of someone’s great-grandparent)	n
great-great-grandson	[object Object]	(the son of one's great-grandchild)	n
great-great-great-great-great-great-grandfather	[object Object]	(father of someone's great-great-great-great-great-grandparent)	n
Great Lakes	[object Object]	(a group of five lakes on the United States-Canada border)	prop
Great Leap Forward	[object Object]	(Great Leap Forward (in China))	n
greatness	[object Object]	(The state, condition, or quality of being great; as, greatness of size, greatness of mind, power, etc)	n
great northern diver	[object Object]	(large member of the diver family, Gavia immer)	n
great northern loon	{great northern diver}		n
Great Pyramid at Giza	{Great Pyramid of Giza}		prop
Great Pyramid of Giza	[object Object]	(the largest and most famous of the Egyptian pyramids)	prop
great spotted woodpecker	[object Object]	(Bird)	n
Great Successor	Grande Sucessor	(Kim Jong-un)	prop
great tit	chapim	(Bird)	n
great-uncle	tio-avô	(brother of one's grandparent; uncle of one's parent)	n
Great Wall of China	[object Object]	(Chinese fortification)	prop
great white shark	[object Object]	(Carcharodon carcharias)	n
greave	[object Object]	(piece of armour that protects the leg, especially the shin)	n
grebe	[object Object]	(any of several waterbirds in the family Podicipedidae)	n
Greece	[object Object]	(Country in Southeastern Europe)	prop
greed	[object Object]	(selfish desire for more than is needed)	n
greedy	guloso, ganancioso	(having greed; consumed by selfish desires)	adj
Greek	[object Object]	(language of the Greek people)	prop
Greek fire	[object Object]	(flammable substance)	n
Greek Orthodox Church	Igreja Ortodoxa grega	(Greek Orthodox Church)	prop
green	{putting green}		n
green card	[object Object]	(US work permit)	n
greengrocer	[object Object]	(person who sells fresh vegetables and fruit)	n
greengrocery	greengrocer's	(shop)	n
greenhorn	café com leite	(inexperienced person)	n
greenhouse	[object Object]	(building in which plants are grown more quickly than outside)	n
greenhouse effect	[object Object]	(process by which a planet is warmed by its atmosphere)	n
greenish	[object Object]	(somewhat green)	adj
Greenland	[object Object]	(A large self-governing island in North America)	prop
Greenlander	groenlandês [Brazil], gronelandês [Portugal]	(a person from Greenland or of Greenlandic descent)	n
Greenlandic	[object Object]	(language)	prop
Greenlandish	[object Object]	(language)	prop
green light	[object Object]	(permission)	n
greenlight	dar (o) sinal verde, permitir, aprovar	(to approve)	v
green pepper	[object Object]	(green sweet bell pepper)	n
green sea turtle	[object Object]	(species)	n
green tea	[object Object]	(leaves)	n
green turtle	{green sea turtle}		n
green woodpecker	peto verde	(Picus viridis)	n
greet	saudar	(to address with salutations or expressions of kind wishes)	v
greeting	[object Object]	(acknowledgement of a persons presence or arrival)	n
gregarious	gregário	(of a person who enjoys being in crowds)	adj
Gregorian calendar	[object Object]	(calendar used in the western world)	prop
Gregorian chant	canto gregoriano	(unaccompanied monotonic singing style)	n
Gregory	[object Object]	(male given name)	prop
Grenada	Granada	(Caribbean country)	prop
grenade	[object Object]	(small explosive device)	n
grenade launcher	[object Object]	(weapon that shoots grenades)	n
grey	{gray}		v
grey crow	{hooded crow}		n
grey heron	[object Object]	(the Old World wading bird Ardea cinerea of the heron family)	n
greyhound	[object Object]	(lean breed of dog used in hunting and racing)	n
greylag	greylag goose	(large European goose)	n
greylag goose	[object Object]	(Anser anser)	n
grid	quadricular	(to mark with)	v
gridlock	[object Object]	(traffic congestion)	n
gridlocked	congestionado	(stationary in a gridlock)	adj
grief	pesar	(sadness)	n
grievance	[object Object]	(formal complaint)	n
griffin	[object Object]	(mythical beast having the body of a lion and the wings and head of an eagle)	n
griffon	griffin	(legendary creature)	n
griffon vulture	[object Object]	(Gyps fulvus)	n
grift	{con game}		n
grill	grelhar	(cook food)	v
grilled cheese	[object Object]	(toasted cheese sandwich)	n
grim	rígido, austero	(rigid and unrelenting)	adj
grimace	fazer careta/caretas	(to make grimaces)	v
grime	[object Object]	(Dirt that is ingrained and difficult to remove)	n
grimly	sombriamente, sinistramente	(in a grim manner)	adv
grimoire	grimório	(book of instructions in the use of magic)	n
Grim Reaper	[object Object]	(personification of Death)	prop
grin	[object Object]	(A smile revealing the teeth)	n
grind	rebolar	(to rotate the hips erotically)	v
grinder	esmeril	(tool)	n
grindstone	[object Object]	(wheel for grinding)	n
gringo	[object Object]	(a white person from an English-speaking country)	n
grip	agarrar, segurar	(to take hold)	v
grippe	{flu}		n
Grisons	[object Object]	(a canton of Switzerland)	prop
gristle	[object Object]	(cartilage)	n
grizzly	{grizzly bear}		n
grizzly bear	[object Object]	(Ursus arctos horribilis)	n
groan	gemer	(to make a groan)	v
grocer	[object Object]	(person selling foodstuffs and household items)	n
grocer's	[object Object]	(shop selling groceries)	n
grocery	[object Object]	(shop or store that sells groceries)	n
grocery store	{grocery}		n
Grodno	[object Object]	(city)	prop
groggy	grogue	(Slowed or weakened, as by drink, sleepiness, etc.)	adj
groin	[object Object]	(long narrow depression of the human body that separates the trunk from the legs)	n
Groningen	[object Object]	(province)	prop
groom	noivo	(man about to be married)	n
groove	[object Object]	(long, narrow channel)	n
groove fricative	sibilant	(phonetics: hissing sound)	n
grope	apalpar	(to search by feeling)	v
gross	[object Object]	(whole amount, total)	adj
gross domestic product	produto interno bruto (abbreviation PIB)	(economic production of a particular territory)	n
grossly	grosseiramente, indelicadamente	(in a gross manner)	adv
grotesque	grotesco	(distorted and unnatural in shape or size; abnormal and hideous)	adj
grotto	[object Object]	(small cave)	n
ground	run aground	(to run aground)	v
ground-effect machine	{hovercraft}		n
ground floor	[object Object]	(floor of a building closest to ground level)	n
ground power	{ground forces}		n
ground shark	{Greenland shark}		n
groundwork	[object Object]	(foundation)	n
ground zero	terra zero	(location on the surface marking the detonation of a bomb)	n
group	agrupar	(put together to form a group)	v
grouper	[object Object]	(fish)	n
groupetto	{gruppetto}		n
group ring	[object Object]		n
group sex	[object Object]	(sexual practice)	n
group theoretician	{group theorist}		n
grouse	[object Object]	(to complain or grumble)	v
grove	[object Object]	(small forest)	n
grow	cultivar	((transitive) to cause something to become bigger)	v
growing	crescente	(that grows)	adj
growl	rosnar	(to utter a deep guttural sound)	v
growth	crescimento	(pathology: abnormal mass such as a tumor)	n
Grozny	[object Object]	(city in Russia)	prop
grub	[object Object]	(immature insect)	n
grubby	[object Object]	(dirty)	adj
grudge	[object Object]	(deep seated animosity)	n
grue	{shudder}		v
gruesome	medonho, horrendo, pavoroso	(repellently frightful and shocking; horrific or ghastly)	adj
grumpy	[object Object]	(unhappy and/or irritable)	adj
gruntle	{grunt}		v
Gruyère	gruyere	(cheese)	n
G-spot	[object Object]	(sensitive, erogenous zone on the anterior wall of the vagina)	n
G-string	[object Object]	(a scant piece of underwear or lingerie)	n
Guadalcanal	[object Object]	(Pacific island)	prop
Guadeloupe	Guadalupe	(overseas department of France)	prop
Guam	[object Object]	(Territory of Guam)	prop
guan	jacu	(several birds within the family Cracidae)	n
guanaco	[object Object]	(Lama guanicoe)	n
Guangzhou	[object Object]	(a city of China)	prop
guano	[object Object]	(dung from a sea bird or from a bat)	n
Guantanamo Bay	[object Object]	(US naval base)	prop
