@rowCount	1402
w	d	t	g	r	n	v	s
bacru	$x_1$ utters $x_2$	gismu	an utterer	ba'u,bacr,bacru
badna	$x_1$ is a banana fruit or plant of species $x_2$	gismu	a banana	badn,badna
badri	$x_1$ is sad about $x_2$	gismu	something that is sad	dri,badr,badri
bajra	$x_1$ runs on $x_2$ using limbs $x_3$ with gait $x_4$	gismu	a runner	baj,bajr,bajra
bakfu	$x_1$ is a pack or bundle containing $x_2$ held together by $x_3$	gismu	a pack	baf,bakf,bakfu
bakni	$x_1$ is a cow or bovine of species $x_2$	gismu	a cow	bak,bakn,bakni
bakri	$x_1$ is chalk from $x_2$ in the form of $x_3$	gismu	a quantity of chalk	bakr,bakri
baktu	$x_1$ is a pail or bucket containing $x_2$ made of material $x_3$	gismu	a pail	bakt,baktu
balji	$x_1$ is a plant bulb of species $x_2$	gismu	a plant bulb	balj,balji
balni	$x_1$ is a balcony or shelf of structure $x_2$	gismu	a balcony	baln,balni
balre	$x_1$ is a blade of tool or weapon $x_2$	gismu	a blade	ba'e,balr,balre
balvi	$x_1$ is later than or in the future of $x_2$	gismu	something which is later than something	bav,balv,balvi
bancu	$x_1$ is beyond boundary $x_2$ from $x_3$ in property or amount $x_4$	gismu	an exceeder	bac,banc,bancu
bandu	$x_1$ defends $x_2$ from threat $x_3$	gismu	a defender	bad,band,bandu
banfi	$x_1$ is an amphibian of species $x_2$	gismu	an amphibian	banf,banfi
bangu	$x_1$ is a language used by $x_2$ to communicate $x_3$	gismu	a language	ban,bau,bang,bangu
banli	$x_1$ is great in property $x_2$ by the standard $x_3$	gismu	something great	bal,ba'i,banl,banli
banro	$x_1$ grows to size or into form $x_2$ from $x_3$	gismu	a growing	ba'o,banr,banro
banxa	$x_1$ is a bank owned by $x_2$ for banking functions $x_3$	gismu	a bank	bax,banx,banxa
bapli	$x_1$ forces event $x_2$ to occur	gismu	an event's force	bap,bai,bapl,bapli
barda	$x_1$ is big in property or dimension $x_2$ as compared to $x_3$	gismu	a large	bra,bard,barda
bargu	$x_1$ is an arch over or around $x_2$ of material $x_3$	gismu	an arch	bag,barg,bargu
barja	$x_1$ is a bar serving $x_2$ to customers $x_3$	gismu	a bar	barj,barja
barna	$x_1$ is a mark or spot on $x_2$ of material $x_3$	gismu	a mark	ba'a,barn,barna
bartu	$x_1$ is outside of $x_2$	gismu	something outside	bar,bart,bartu
basna	$x_1$ emphasizes $x_2$ by action $x_3$	gismu	an emphasizer	basn,basna
basti	$x_1$ replaces $x_2$ in circumstance $x_3$	gismu	a replacement	bas,bast,basti
batci	$x_1$ bites or pinches $x_2$ on or at $x_3$ with $x_4$	gismu	a biter	bat,batc,batci
batke	$x_1$ is a button or knob on $x_2$ with purpose $x_3$ of material $x_4$	gismu	a button	batk,batke
bavmi	$x_1$ is a quantity of barley of species $x_2$	gismu	a quantity of barley	bavm,bavmi
baxso	$x_1$ is Malay-Indonesian in aspect $x_2$	gismu	something Malaysian	baxs,baxso
bebna	$x_1$ is foolish in action or property $x_2$	gismu	something foolish	beb,bebn,bebna
bemro	$x_1$ is North American in aspect $x_2$	gismu	something North American	bem,be'o,bemr,bemro
bende	$x_1$ is a team or crew of persons $x_2$ led by $x_3$ for purpose $x_4$	gismu	a team	bed,be'e,bend,bende
bengo	$x_1$ is Bengladesh in aspect $x_2$	gismu	something Bengali	beg,beng,bengo
benji	$x_1$ transmits $x_2$ to receiver $x_3$ from origin $x_4$ via $x_5$	gismu	a transmitter	bej,be'i,benj,benji
bersa	$x_1$ is a son of $x_2$	gismu	a son	bes,be'a,bers,bersa
berti	$x_1$ is to the northern side of $x_2$ in reference frame $x_3$	gismu	something north	ber,bert,berti
besna	$x_1$ is a brain of $x_2$	gismu	a brain	ben,besn,besna
betfu	$x_1$ is a abdomen or lower trunk of $x_2$	gismu	an abdomen	bef,be'u,betf,betfu
betri	$x_1$ is a tragedy for $x_2$	gismu	a tragedy	bet,betr,betri
bevri	$x_1$ transports or carries $x_2$ to $x_3$ from $x_4$ by path $x_5$	gismu	a transporter	bev,bei,bevr,bevri
bidju	$x_1$ is a bead or pebble made of $x_2$	gismu	a bead	bidj,bidju
bifce	$x_1$ is a bee or wasp of species $x_2$	gismu	a bee	bic,bifc,bifce
bikla	$x_1$ whips or lashes	gismu	a lasher	bik,bikl,bikla
bilga	$x_1$ is obligated to do $x_2$ by agreement $x_3$	gismu	something obligated	big,bilg,bilga
bilma	$x_1$ is ill or sick with symptoms $x_2$ from disease $x_3$	gismu	something ill	bi'a,bilm,bilma
bilni	$x_1$ is regimented organized by $x_2$ for purpose $x_3$	gismu	something regimented	bil,biln,bilni
bindo	$x_1$ is Indonesian in aspect $x_2$	gismu	something Indonesian	bid,bind,bindo
binra	$x_1$ insures $x_2$ against threat $x_3$ with benefit $x_4$	gismu	an insurer	binr,binra
binxo	$x_1$ transforms into $x_2$	gismu	transform	bix,bi'o,binx,binxo
birje	$x_1$ is made of or contains beer or ale brewed from $x_2$	gismu	a quantity of beer	birj,birje
birka	$x_1$ is an arm of $x_2$	gismu	an arm	bir,birk,birka
birti	$x_1$ is convinced that $x_2$ is true	gismu	something convinced	bit,birt,birti
bisli	$x_1$ is a quantity of ice made of $x_2$	gismu	a quantity of ice	bis,bisl,bisli
bitmu	$x_1$ is a wall or fence separating $x_2$ and $x_3$ of or in structure $x_4$	gismu	a wall	bim,bi'u,bitm,bitmu
blabi	$x_1$ is white	gismu	something white	lab,blab,blabi
blaci	$x_1$ is a quantity of glass of material $x_2$	gismu	a quantity of glass	blac,blaci
blanu	$x_1$ is blue	gismu	something blue	bla,blan,blanu
bliku	$x_1$ is a block of material $x_2$ with surfaces or sides $x_3$	gismu	a block	bli,blik,bliku
bloti	$x_1$ is a boat or ship for carrying $x_2$ propelled by $x_3$	gismu	a boat	lot,blo,lo'i,blot,bloti
bolci	$x_1$ is a ball or sphere made of $x_2$	gismu	a ball	bol,boi,bolc,bolci
bongu	$x_1$ is a bone performing function $x_2$ in the body of $x_3$	gismu	a bone	bog,bo'u,bong,bongu
botpi	$x_1$ is a bottle, jar, or flask for $x_2$ made of $x_3$ with lid $x_4$	gismu	a bottle	bot,bo'i,botp,botpi
boxfo	$x_1$ is a sheet or blanket made of $x_3$	gismu	a sheet	bof,bo'o,boxf,boxfo
boxna	$x_1$ is a wave in $x_2$ with wave-form $x_3$, wavelength $x_4$, and frequency $x_5$	gismu	a wave	bon,bo'a,boxn,boxna
bradi	$x_1$ is an enemy of $x_2$ in struggle $x_3$	gismu	an enemy	brad,bradi
bratu	$x_1$ is hail or sleet of material $x_2$	gismu	hail	brat,bratu
brazo	$x_1$ is Brazilian in aspect $x_2$	gismu	something Brazilian	raz,braz,brazo
bredi	$x_1$ is ready for $x_2$	gismu	something ready	red,bre,bred,bredi
bridi	$x_1$ is a predicate with relationship $x_2$ among arguments $x_3$	gismu	a predicate	bri,brid,bridi
brife	$x_1$ is wind from direction $x_2$ with speed $x_3$	gismu	a wind	bif,bi'e,brif,brife
briju	$x_1$ is an office or bureau of worker $x_2$ at location $x_3$	gismu	an office	bij,brij,briju
brito	$x_1$ is British in aspect $x_2$	gismu	something British	rit,brit,brito
broda	$x_1$ is the predicate variable 1	gismu	predicate variable 1	rod,brod,broda
brode	$x_1$ is the predicate variable 2	gismu	predicate variable 2	bo'e,brode
brodi	$x_1$ is the predicate variable 3	gismu	predicate variable 3	brodi
brodo	$x_1$ is the predicate variable 4	gismu	predicate variable 4	brodo
brodu	$x_1$ is the predicate variable 5	gismu	predicate variable 5	brodu
bruna	$x_1$ is a brother of $x_2$ by bond $x_3$	gismu	a brother	bun,bu'a,brun,bruna
budjo	$x_1$ is Buddhist in aspect $x_2$	gismu	something Buddhist	buj,bu'o,budj,budjo
bukpu	$x_1$ is a quantity of cloth made of $x_2$	gismu	a quantity of cloth	buk,bu'u,bukp,bukpu
bumru	$x_1$ is covered by a fog or mist of liquid $x_2$	gismu	something foggy	bum,bumr,bumru
bunda	$x_1$ is $x_2$ non-metric weight units in standard $x_3$ with subunits $x_4$	gismu	something measured in non-metric weight	bud,bund,bunda
bunre	$x_1$ is brown	gismu	something brown	bur,bu'e,bunr,bunre
burcu	$x_1$ is a brush for $x_2$ with bristles $x_3$	gismu	a brush	bru,burc,burcu
burna	$x_1$ is embarrassed about $x_2$	gismu	something embarrassed	burn,burna
cabna	$x_1$ is current with $x_2$ in time	gismu	something current	cab,cabn,cabna
cabra	$x_1$ is apparatus for function $x_2$ controlled by $x_3$	gismu	an apparatus	ca'a,cabr,cabra
cacra	$x_1$ is $x_2$ hours in duration	gismu	something measured in hours	cacr,cacra
cadzu	$x_1$ walks on surface $x_2$ using limbs $x_3$	gismu	a walker	dzu,cadz,cadzu
cafne	$x_1$ (nu) occurs frequently	gismu	frequent	caf,cafn,cafne
cakla	$x_1$ is made of or contains a quantity of chocolate or cocoa	gismu	a quantity of chocolate	cakl,cakla
calku	$x_1$ is a shell or husk around $x_2$ made of $x_3$	gismu	a shell	cak,calk,calku
canci	$x_1$ vanishes from location $x_2$ using senses or sensor $x_3$	gismu	a vanisher	canc,canci
cando	$x_1$ is idle or at rest	gismu	something idle	cad,cand,cando
cange	$x_1$ is a farm or ranch at $x_2$ farmed by $x_3$ that raises or produces $x_4$	gismu	a farm	cag,cang,cange
canja	$x_1$ trades $x_2$ for $x_3$ with $x_4$	gismu	a trader	caj,canj,canja
canko	$x_1$ is a window or portal in wall or building $x_2$	gismu	a window	ca'o,cank,canko
canlu	$x_1$ is a space or room occupied by $x_2$	gismu	a space	cal,ca'u,canl,canlu
canpa	$x_1$ is a shovel or spade for digging $x_2$	gismu	a shovel	cna,canp,canpa
canre	$x_1$ is a quantity of sand or grit from $x_2$ of composition $x_3$	gismu	a quantity of sand	can,canr,canre
canti	$x_1$ is the intestines or guts of $x_2$	gismu	an intestine	cant,canti
carce	$x_1$ is a carriage or wagon for carrying $x_2$ propelled by $x_3$	gismu	a carriage	carc,carce
carmi	$x_1$ is bright or intense in property $x_2$ as measured by observer $x_3$	gismu	something bright	cam,cai,carm,carmi
carna	$x_1$ turns or rotates around axis $x_2$ in direction $x_3$	gismu	something that rotates	car,carn,carna
cartu	$x_1$ is a chart or diagram of $x_2$ showing information $x_3$	gismu	a chart	cat,cart,cartu
carvi	$x_1$ rains or showers to $x_2$ from $x_3$	gismu	something that rains	cav,carv,carvi
casnu	$x_1$ discusses or talks about $x_2$	gismu	a discusser	snu,casn,casnu
catke	$x_1$ shoves or pushes $x_2$ at location $x_3$	gismu	a shover	ca'e,catk,catke
catlu	$x_1$ looks at $x_2$	gismu	something looking	cta,catl,catlu
catni	$x_1$ has authority over $x_2$ on the basis of $x_3$	gismu	something with authority	ca'i,catn,catni
catra	$x_1$ kills $x_2$ by action $x_3$	gismu	a killer	catr,catra
caxno	$x_1$ is shallow in direction $x_2$ from reference point $x_3$	gismu	something shallow	cax,caxn,caxno
cecla	$x_1$ launches projectile or missile $x_2$ propelled by $x_3$	gismu	a launcher	cel,ce'a,cecl,cecla
cecmu	$x_1$ is a community or colony of organisms $x_2$	gismu	a community	cem,ce'u,cecm,cecmu
cedra	$x_1$ is an era or age characterized by $x_2$	gismu	an era	cedr,cedra
cenba	$x_1$ varies in property or quantity $x_2$ in amount $x_3$	gismu	vary	cne,cenb,cenba
censa	$x_1$ is holy or sacred to $x_2$	gismu	something holy	ces,cens,censa
centi	$x_1$ is a hundreth of $x_2$ in dimension or aspect $x_2$	gismu	a hundreth	cen,cent,centi
cerda	$x_1$ is an inheritor of or heir to $x_2$ from $x_3$ according to rule $x_4$	gismu	an inheritor	ced,cerd,cerda
cerni	$x_1$ is a morning of day $x_2$ at location $x_3$	gismu	a morning	cer,cern,cerni
certu	$x_1$ is an expert or is skilled at $x_2$	gismu	something skilled	cre,cert,certu
cevni	$x_1$ is a god of people or religion $x_2$ with dominion over $x_3$	gismu	a god	cev,cei,cevn,cevni
