@rowCount	6194
w	d	t
gesticulator	gesticulator	en
gestion	management, administration	en
gesto	gesture	en
Gethsémani	Gethsemané	en
Gethsemani	Gethsemane	en
geyser	geyser	en
ghetto	ghetto	en
ghibellin	Ghibelline	en
ghibellino	Ghibelline	en
gibbo	hump, hunch	en
gibbose	hunched, humped, gibbous, humpbacked, hunchbacked	en
gibbositate	gibbousness	en
gigante	giant, giantess, gigantic	en
gigantesc	gigantic	en
gigantomachia	gigantomachy	en
gilet	vest, waistcoat	en
gin	gin	en
gingibre	ginger	en
gingiva	gum	en
gingival	gingival	en
gingivitis	gingivitis	en
ginseng	ginseng	en
girafa	giraffe	en
girar	to gyrate, rotate	en
girar a sinistra	to turn left	en
girasol	girasol, fire opal	en
giration	gyration, rotation	en
giratori	gyratory, gyrating	en
giro	Giro	en
gitarra	guitar	en
gitarrista	guitarist	en
glacé	glacé	en
glacial	glacial	en
glaciar	to freeze, ice, glaciate	en
glaciate usque le medulla	to be chilled to the bone	en
glacie	ice	en
glacie de sucro	icing, frosting	en
glaciera	icehouse, icebox	en
glaciero	glacier	en
glacis	glacis	en
gladiator	gladiator	en
gladiatori	gladiatorial	en
gladiatura	gladiatorial combat	en
gladio	sword	en
gladiolo	gladiolus, gladiola	en
glande	acorn	en
glandifere	glandiferous, bearing acorns	en
glandiforme	glandiform, acorn-shaped	en
glandula	gland	en
glandula lacrimal	lachrymal gland	en
glandula lymphatic	lymphatic gland	en
glandula pineal	pineal gland	en
glandula sudoripare	sweat gland	en
glandula thyroide	thyroid (gland)	en
glandular	glandular	en
glandulas adrenal	adrenal glands	en
glandulas endocrin	endocrine glands	en
glandulose	glandulous	en
glasnost	glasnost	en
glauc	blue-green, sea-green, glaucous	en
glaucoma	glaucoma	en
glissar	to slide, glide	en
global	global, world-wide, total, aggregate, inclusive	en
globe-trotter	globetrotter	en
globo	globe, sphere, ball, earth	en
globo del oculo	eyeball	en
globoide	globoid	en
globose	spherical, globe-shaped, globose	en
globositate	sphericity, globosity	en
globular	globular, spherical	en
globulo	globule	en
globulos de sanguine	blood corpuscles	en
globulose	globular	en
glomere	ball (of thread, yarn, etc)	en
glomerulo	glomerulus, glomerule	en
gloria	glory, praise, fame, splendor	en
glorificar	to glorify	en
glorificar se de	to glory in	en
glorification	glorification	en
glorificator	glorifier	en
gloriola	petty vanity	en
gloriose	glorious, vainglorious	en
glossa	gloss, explanation, rendering	en
glossar	to gloss, explain by glosses	en
glossario	glossary	en
glossator	glossator, writer of glosses	en
glossitis	glossitis	en
glossotomia	glossotomy, excision of the tongue	en
glotta	glottis	en
glottic	glottic, glottal	en
glucato	glucate	en
glucic	glucic	en
glucina	glucina	en
glucinum	glucinum	en
glucosa	glucose, glycose	en
glucosa sanguinee	blood sugar	en
glucosido	glucoside	en
gluma	glume, husk	en
glumaceas	Glumaceae	en
glumacee	glumaceous	en
glumose	glumous, glumose	en
glutinar	to glue	en
glutine	glue, gluten	en
glutinose	sticky, glutinous	en
glutinositate	stickiness, glutinousness	en
glutir	to swallow (down)	en
glutte	gluttonous	en
glutton	glutton	en
gluttonia	gluttony	en
gluttonisar	to gluttonize, gormandize	en
glyceral	glyceral	en
glycerato	glycerate	en
glyceria	manna grass, Glyceria	en
glyceric	glyceric	en
glycerido	glyceride	en
glycerina	glycerin	en
glycerito	glycerite	en
glycerol	glycerol	en
glycerophosphato	glycerophosphate	en
glycerophosphoric	glycerophosphoric	en
glyceryl	glyceryl	en
glycic	glycic	en
glycidic	glycidic	en
glycido	glycide	en
glycina	glycin	en
glycinia	wistaria	en
glycocolla	glycocoll	en
glycogene	glycogenous, glycogenic	en
glycogenic	glycogenic, glycogenous	en
glycogeno	glycogen	en
glycol	glycol	en
glycyrrhiza	licorice, glycyrrhiza	en
glycyrrhizina	glycyrrhizin	en
gneis	gneiss	en
