@rowCount	2000
w	d	n	t	r	g	b	s	v
cnici	$x_1$ jai se morna lo pluka ja dikni ja te ganzu fai $x_2$ .i $x_1$ to'e kalsa $x_2$	{morna}; {pluka}; {dikni}; {ganzu}; {kalsa}	gismu	nic;cnic;cnici
cnino	lo nu $x_1$ ckaji $x_3$ cu pu zi co'a se sanji $x_2$ .i $x_1$ to'e slabu $x_2$ $x_3$		gismu	nin;ni'o;cnin;cnino
cnisa	$x_1$ tilju je ranti je blagrusi jinme cmuxu'i gi'e se sinxa zo'oi Pb	{tilju}; {ranti}; {blagrusi}; {jinme}; {cmuxu'i}; {sinxa}	gismu	nis;cnis;cnisa
cnita	lo stuzi be $x_1$ cu zmadu je panra lo stuzi be $x_2$ lo ka dizlo $x_3$		gismu	nit;ni'a;cnit;cnita
condi	$x_1$ barda $x_2$ noi farna $x_1$ boi $x_3$ ku'o $x_4$		gismu	con;cno;coi;cond;condi
cortu	$x_1$ ganse lo nu $x_2$ noi pagbu ja diklo $x_1$ cu gasnu lo nu $x_1$ dunku ja to'e kufra	{ganse}; {pagbu}; {diklo}; {gasnu}; {dunku}; {kufra}; {xrani}; {bilma}	gismu	cor;cro;cort;cortu
cpacu	$x_1$ co'a tolcau $x_2$ noi $x_3$ krasi ke'a	{tolcau}; {krasi}; {lebna}	gismu	cpa;cpac;cpacu
cpana	$x_1$ sepcau zvati lo to na'o galraipau toi sefta be $x_2$	{sepcau}; {zvati}; {galraipau}; {sefta}; {vreta}; {zutse}; {sanli}; {punji}	gismu	cpan;cpana
cpare	$x_1$ muvdu fau lo nu lo xadni cu lamji ja jibni $x_2$ kei fe $x_3$ se pi'o $x_4$ noi tuple ja birka	{muvdu}; {xadni}; {lamji}; {jibni}; {pilno}; {tuple}; {birka}	gismu	par;cpar;cpare
cpedu	$x_1$ jungau $x_3$ lo du'u $x_1$ djica lo ka cpacu $x_2$ $x_3$	{jungau}; {djica}; {cpacu}	gismu	cpe;cped;cpedu
cradi	$x_1$ benji $x_2$ noi se bacru ja zgike ja sance ku'o fu $x_3$ fi $x_4$ noi cabra lo ka cpacu	{benji}; {bacru}; {zgike}; {sance}; {cabra}; {cpacu}; {tivni}	gismu	crad;cradi
crane	$x_1$ ralju lo mlana be $x_2$ .i $x_1$ mlana $x_2$ gi'e vasru lo flira be $x_2$ .i $x_1$ mlana $x_2$ lo zgana be $x_2$ .i $x_1$ to'e trixe $x_2$	{ralju}; {mlana}; {vasru}; {flira}; {zgana}; {trixe}	gismu	cra;cran;crane
creka	$x_1$ taxfu lo cutne .a lo cutne jo'u birka gi'e marji $x_2$	{taxfu}; {cutne}; {birka}; {marji}	gismu	cek;crek;creka
cribe	$x_1$ mabru $x_2$ noi jutsi la'o jutsi. Ursidae .jutsi	srana fa zo {mabru}	gismu	rib;crib;cribe
crida	$x_1$ rarbancu ja ranmi remsmi	{rarbancu}; {ranmi}; {remsmi}	gismu	rid;crid;crida
crino	$x_1$ skari lo'e banro je vifne srasu .a lo'e gusni poi jbini lo'e blanu ku joi lo'e pelxu le ka boxna clani	{skari}; {srasu}; {blanu}; {pelxu}	gismu	ri'o;crin;crino
crisa	$x_1$ citsi lo ka glare kei $x_2$ tu'i $x_3$ gi'e se lidne lo vensa gi'e lidne lo critu	{citsi}; {glare}; {dunra}; {critu}; {vensa}	gismu	cis;cris;crisa
critu	$x_1$ citsi lo ka lekyze'a kei $x_2$ tu'i $x_3$ gi'e se lidne lo crisa gi'e lidne lo dunra	{citsi}; {lekyze'a}; {crisa}; {dunra}; {vensa}	gismu	crit;critu
ctaru	$x_1$ nu lo sefta be $x_2$ noi xamsi cu dikni zenba jo'u jdika lo ni galtu	{xamsi}; {sefta}; {dikni}; {zenba}; {jdika}; {galtu}	gismu	ctar;ctaru
ctile	$x_1$ litki gi'e rarna gi'e viknu gi'e mixre lo drotabno gi'e se pruce fi lo livla gi'e se krasi $x_2$	{grasu} .i {livla} .i {viknu}	gismu	ctil;ctile
ctino	$x_1$ manku se ja'e lo nu $x_2$ se ragve $x_3$ $x_1$ gi'e fanta lo nu $x_3$ te gusni $x_1$	{manku}; {ragve}; {fanta}; {gusni}	gismu	ti'o;ctin;ctino
ctuca	$x_1$ troci lo ka gasnu lo nu $x_2$ cilre $x_3$ $x_4$ kei kei $x_5$	{troci}; {gasnu}; {cilre}	gismu	ctu;ctuc;ctuca
cukla	$x_1$ se cimde re da ije lo jimte be $x_1$ cu manfo lo ka ce'u sepli lo midju be $x_1$ makau		gismu	cuk;cukl;cukla
cukta	$x_1$ se papri lo vasru be $x_2$ noi se finti $x_3$	{papri}; {vasru}; {finti}; {prosa}; {pemci}; {cfika}; {pixra}; {tcidu}	gismu	cku;cukt;cukta
culno	$x_1$ vasru $x_2$ ja'e lo nu $x_1$ na kakne lo ka vasru lo drata be $x_2$ .i $x_1$ to'e kunti $x_2$	{vasru}; {kakne}; {drata}; {kunti}; {tisna}; {mulno}; {setca}	gismu	clu;culn;culno
cumki	$x_1$ ka'e fasnu .i $x_1$ su'o cu'o .i $x_1$ la'erlai li za'u no		gismu	cum;cu'i;cumk;cumki	cumki
cunmi	$x_1$ gurni ja spati $x_2$ noi jutsi la'o jutsi Setaria italica jutsi	{gurni}; {spati}; {jutsi}	gismu	cunm;cunmi
cunso	$x_1$ se morna no da .i $x_1$ kalsa lo ka se stura ma kau	{morna}; {kalsa}; {stura}	gismu	cun;cu'o;cuns;cunso
cuntu	$x_1$ se fuzme ja cinri $x_2$ gi'e jai se kanpe fai lo ka $x_2$ jundi ja kurji ce'u gi'a zukte lo srana be ce'u	{fuzme}; {cinri}; {kanpe}; {jundi}; {kurji}; {zukte}; {srana}	gismu	cu'u;cunt;cuntu
cupra	$x_1$ gasnu ja se jalge lo nu $x_2$ zasti	{gasnu}; {jalge}; {zasti}; {zbasu}; {jbena}; {jukpa}; {gundi}	gismu	pra;cupr;cupra
curmi	$x_1$ gasnu no da poi ke'a fanta $x_2$	{fanta}; {e'ande}	gismu	cru;curm;curmi	curmi
cusku	$x_1$ benji $x_2$ noi valsi porsi ku'o $x_3$ fu $x_4$	{benji}; {valsi}; {porsi}; {tavla}; {casnu}	gismu	cus;sku;cusk;cusku		cu'u
cutci	$x_1$ taxfu lo ka jamfu ku gi'e selpau lo sirji senta be lo jdari be'o poi ke'a ca lo nu $x_1$ vasru lo jamfu cu bitmu ri lo cnita be ri xoi bandu ri lo ka mu'a se xrani	srana fa zo {taxfu} .e zo {jamfu}	gismu	cuc;cutc;cutci
cutne	$x_1$ pagbu lo xadni be $x_2$ gi'e tersei lo cnebo lo betfu gi'e vasru lo bongu se sruri kevna poi se zvati lo risna jo'u lo fepri jo'u lo drata	{pagbu}; {xadni}; {tersei}; {cnebo}; {betfu}; {vasru}; {bongu}; {sruri}; {kevna}; {zvati}; {risna}; {fepri}; {drata}	gismu	cut;cutn;cutne
cuxna	$x_1$ jdice lo du'u $x_2$ traji lo ka se nelci ja se zanru $x_1$ gi'a mapti kei $x_3$	{jdice}; {traji}; {nelci}; {zanru}; {mapti}	gismu	cux;cu'a;cuxn;cuxna
dacru	$x_1$ pagbu $x_2$ noi stura ku'o gi'e vasru $x_3$ .i ra'u $x_1$ fa'u $x_2$ tanxe fa'u nilce	{tanxe} .i {nilce}	gismu	dac;dacr;dacru
dacti	$x_1$ marji je se canlu je se ditcu	{marji}; {canlu}; {ditcu}	gismu	dai;dact;dacti
dakli	$x_1$ toltinsa vautci $x_2$ gi'e marji $x_3$	{toltinsa}; {vautci}; {marji}	gismu	dakl;dakli
damba	$x_1$ fapro $x_2$ $x_3$ fau lo nu $x_1$ gunta ja bandu $x_2$	{fapro}; {gunta}; {bandu}; {jamna}; {jivna}; {bradi}	gismu	dab;da'a;damb;damba
damri	$x_1$ zgitci gi'e se pagbu $x_2$ noi te darxi $x_1$ te zu'e lo nu $x_1$ desku je se sance	{zgitci}; {pagbu}; {darxi}; {desku}; {sance}	gismu	damr;damri
danfu	$x_1$ mapti $x_2$ noi preti ja nabmi ku'o lo ka fapro	{mapti}; {preti}; {nabmi}; {fapro}; {spuda}; {frati}; {ciksi}	gismu	daf;danf;danfu
danlu	$x_1$ jmive gi'e sorselsle gi'e ka'e ganse gi'e ka'e zukte lo ka ce'u muvdu kei gi'e jutsi $x_2$	srana fa zo {sorselsle} .e zo {pavyselsle} .e zo {ganse} .e zo {jmive} .e zo {jutsi} .e zo {banfi} .e zo {cinki} .e zo {finpe} .e zo {jukni} .e zo {respa} .e zo {since} .e zo {mabru} .e zo {bakni}	gismu	dal;da'u;danl;danlu	danlu
danre	$x_1$ gasnu ja bapli lo nu $x_2$ tende $x_3$	{gasnu}; {bapli}; {tende}; {catke}; {lacpu}	gismu	da'e;danr;danre
dansu	$x_1$ nalcadgau lo xadni fi'o rilti lo rilti be $x_2$	{nalcadgau}; {xadni}; {rilti}; {zgike}	gismu	dans;dansu
daplu	$x_1$ tumla gi'e mulno se sruri $x_2$ noi ke'a na'o litki ku'o su'o cimde		gismu	plu;dapl;daplu	daplu
dapma	$x_1$ gasnu ja djisku lo nu $x_2$ se dimna $x_3$ noi mabla	{gasnu}; {djisku}; {dimna}; {mabla}	gismu	dap;dapm;dapma
darlu	$x_1$ sabji lo krinu be lo nu jinvi $x_2$ .e nai $x_3$	{sabji}; {krinu}; {jinvi}	gismu	dau;darl;darlu
darno	$x_1$ sepli $x_2$ lo barda be $x_3$ .i $x_1$  to'e jibni $x_2$ $x_3$	{sepli}; {barda}; {jibni}	gismu	dar;da'o;darn;darno
darxi	$x_1$ gasnu lo nu $x_3$ noi pagbu $x_1$ cu janli $x_4$ noi pagbu $x_2$		gismu	dax;da'i;darx;darxi
dasni	$x_1$ pilno $x_2$ lo nu $x_2$ taxfu $x_1$ $x_3$	{pilno}; {taxfu}	gismu	das;dasn;dasni
daspo	$x_1$ rinka lo nu $x_2$ spofu gi'a porpi gi'a binxo lo na ka'e se pilno kei ja'e lo nu $x_2$ na ka'e se cikre	srana zo {gasnu} e zo {spofu} e zo {porpi} e zo {binxo} e zo {pilno} e zo {jalge} e zo {cikre}	gismu	spo;dasp;daspo
