@rowCount	2000
w	d	t	r	n	b	g	s	v
sampu	$x_1$ jai frili fai $x_2$ .i $x_1$ na'e vrici $x_2$ .i $x_1$ to'e pluja $x_2$	gismu	sap;samp;sampu
sance	$x_1$ se krasi $x_2$ gi'e ka'e se tirna	gismu	sna;sanc;sance	{tirna}; {jvinu}; {panci}; {vrusi}; {tengu}
sanga	$x_1$ bacru ja se sance $x_2$ fau lo nu lo voksa be $x_1$ cu zgike	gismu	sag;sa'a;sang;sanga	{bacru}; {sance}; {voksa}; {zgike}
sanji	$x_1$ lifri lo nu $x_2$ zasti	gismu	saj;sanj;sanji	{lifri} .i {zasti}
sanli	$x_1$ zasni lo ka lo xadni be ce'u cu sraji gi'e cpana $x_2$ gi'e se sarji $x_3$ noi tuple ja jimca ja zbepi ce'u	gismu	sa'i;sanl;sanli	{zasni}; {xadni}; {sraji}; {cpana}; {sarji}; {tuple}; {jimca}; {zbepi}; {vreta}; {zutse}; {loldi}
sanmi	$x_1$ gunma $x_2$ noi cidja gi'e bredi lo ka se citka	gismu	sai;sanm;sanmi	{gunma}; {cidja}; {bredi}; {citka}; {gusta}; {barja}; {stasu}; {salta}; {sanso}
santa	$x_1$ jai bandu $x_2$ $x_3$ gi'e marji $x_4$ gi'e se sarji $x_5$ $x_3$	gismu	sant;santa
sarcu	lo nu $x_1$ narfau cu banzu lo nu $x_2$ narfau	gismu	sa'u;sarc;sarcu	srana fa zo {banzu} .e zo {bazysa'u} .e zo {nitcu}	sau
sarji	$x_1$ sidju $x_2$ lo ka renvi ja na'e randa ja fapro $x_3$	gismu	sra;sarj;sarji	{sidju}; {renvi}; {randa}; {fapro}
sarxe	$x_1$ ckini $x_2$ $x_3$ ja'e lo zabna ja pluka ja melbi ja to'e vlile	gismu	sax;sarx;sarxe	{ckini}; {zabna}; {pluka}; {melbi}; {vlile}; {mapti}; {lanxe}; {panpi}; {tugni}
saske	$x_1$ te ganzu ja ciste ja stura lo datni be $x_2$ bei $x_3$	gismu	ske;sask;saske	{ganzu}; {ciste}; {stura}; {datni}
satci	$x_1$ prane lo ka mapti $x_2$ lo ka ckaji	gismu	satc;satci	{prane}; {mapti}; {ckaji}
satre	$x_1$ pencu $x_2$ boi $x_3$ lo kuspe noi $x_3$ muvdu fo ke'a	gismu	sa'e;satr;satre
sefta	$x_1$ pagbu $x_2$ gi'e jimte $x_2$ lo ka ma kau ce'u canlu kei gi'e korbi $x_2$ lo bartu be $x_2$	gismu	sfe;seft;sefta	{pagbu}; {jimte}; {canlu}; {korbi}; {bartu}; {flira}; {crane}; {plita}
senci	$x_1$ suksa je se snuti lo ka se sance livbai lo vacri ja se vasxu lo nazbi jo'u lo moklu	gismu	sec;senc;senci	{suksa}; {snuti}; {sance}; {livbai}; {vacri}; {vasxu}; {nazbi}; {moklu}
senpi	$x_1$ no'e krici $x_2$ .i $x_1$ na'e birti $x_2$	gismu	sen;senp;senpi	{krici}; {birti}; {iacu'i}		senpi
senta	$x_1$ marji $x_2$ gi'e pagbu $x_3$ gi'e rotsu tersei lo pagbu be $x_3$ lo ve vimcu	gismu	set;sent;senta	{marji}; {pagbu}; {rotsu}; {tersei}; {vimcu}
senva	$x_1$ se xanri $x_2$ fau lo nu $x_1$ sipna ja nalju'i	gismu	sev;sne;senv;senva	{xanri}; {sipna}; {nalju'i}
sepli	$x_3$ ni $x_1$ zvada'o $x_2$	gismu	sep;sei;sepl;sepli	srana fa zo {tersei} .e zo {temci} .e zo {zvada'o} .e zo {klani}
serti	$x_1$ se pilno fi lo nu cpare $x_2$ kei gi'e stura $x_3$ noi se stapa gi'e sarji lo jumfa be lo cpare	gismu	ser;sert;serti	{pilno}; {cpare}; {stura}; {stapa}: {sarji}; {jumfa}
setca	$x_1$ gasnu lo nu $x_2$ nenri $x_3$	gismu	se'a;setc;setca			setca
simlu	lo nu $x_1$ ckaji $x_2$ kei noi ka'e na fatci ja satci cu se ganse $x_3$	gismu	mlu;siml;simlu	{ckaji}; {fatci}; {satci}; {ganse}; {simsa}; {jarco}
simsa	$x_1$ toltce lo ka frica $x_2$ $x_3$	gismu	smi;sims;simsa	{toltce}; {frica}; {simlu}; {dunli}; {mintu}; {panra}
simxu	ro da poi me $x_1$ cu ckini ro me $x_1$ poi na du da ku'o $x_2$ .i rau da poi me $x_1$ cu ckini rau me $x_1$ poi na du da ku'o $x_2$	gismu	sim;si'u;simx;simxu	{ckini} .i {sefsi}
since	$x_1$ re'ucti gi'e se tuple no da gi'e respa $x_2$ noi jutsi la'o xy. Serpentes .xy	gismu	sinc;since	srana fa zo {respa}
sinma	$x_1$ cinmo lo zabna $x_2$ .i $x_1$ jinvi lo du'u $x_2$ banli	gismu	si'a;sinm;sinma	{cinmo}; {zabna}; {jinvi}; {banli}; {salci}; {ckire}; {nelci}; {prami}; {censa}; {misno}
sinso	$x_1$ parbi ko'a noi $x_2$ jganu ko'e ke'a ku'o ko'i .i je ko'a sraji tersei lo pinta linji be ko'e lo te kruca be ko'a bei ko'o noi cukla gi'e se midju ko'e .i je ko'i tersei ko'e ko'o	gismu	sins;sinso	{parbi}; {jganu}; {sraji}; {tersei}; {pinta}; {linji}; {kruca}; {cukla}; {midju}
sinxa	$x_1$ noi dacti ja fasnu ja morna ja barna ja lerfu ja tcita cu se smuni $x_2$ $x_3$ gi'a krati $x_2$ lo ka se pilno $x_3$ lo ka benji lo sidbo	gismu	sni;sinx;sinxa	{dacti}; {fasnu}; {morna}; {barna}; {lerfu}; {tcita}; {smuni}; {krati}; {pilno}; {benji}; {sidbo}
sipna	$x_1$ surla lo ka na'e zukte gi'e mulno ja nalmu'o lo ka na'e sanji .i $x_1$ to'e cikna	gismu	sip;sipn;sipna	{surla}; {zukte}; {mulno}; {nalmu'o}; {sanji}; {cikna}
sirji	$x_1$ toryrai lo linji be $x_2$ e $x_3$	gismu	sir;sirj;sirji	{linji}
sirxo	$x_1$ ckini lo kulnu ja bangu ja cecmu ja natmi pe lo gugdesuje $x_2$	gismu	six;sirx;sirxo	{kulnu}; {bangu}; {cecmu}; {natmi}; {gugdesuje}; {xazdo}; {semto}; {xrabo}
sisku	$x_1$ zukte da lo nu $x_1$ facki lo du'u ma kau poi me $x_3$ cu ckaji $x_2$	gismu	sis;sisk;sisku	srana fa zo {facki} .e zo {zvasisku} .e zo {mitysisku}
sisti	$x_1$ co'u zukte ja ckaji $x_2$ .i lo nu $x_1$ zukte ja ckaji $x_2$ cu tolcfa	gismu	sti;sist;sisti	{zukte} .i {ckaji} .i {tolcfa}
sitna	$x_1$ refsku lo se cusku be $x_2$ fi'o datni $x_3$	gismu	sit;sitn;sitna	{refsku}; {cusku}; {datni}
sivni	$x_1$ srana $x_2$ noi prenu ku'o .e no drata be $x_2$ .i $x_1$ to'e gubni lo drata be $x_2$	gismu	siv;sivn;sivni	{srana}; {prenu}; {drata}; {gubni}
skami	$x_1$ minji $x_2$ noi ka'e te platu gi'e ka cpacu lo datni gi'e cmaci ja logji kanji gi'e jarco lo se kanji	gismu	sam;skam;skami	{minji}; {platu}; {cpacu}; {datni}; {cmaci}; {logji}; {kanji}; {jarco}
skapi	$x_1$ marji lo pilka be $x_2$ noi danlu	gismu	kap;skap;skapi	{marji}, {pilka}, {danlu}
skari	$x_1$ ckaji $x_2$ se ja'e lo nu $x_2$ minra lo mo kau gusni be $x_2$	gismu	ska;skar;skari	{ckaji}; {minra}; {gusni}; {blanu}; {bunre}; {cicna}; {crino}; {grusi}; {narju}; {nukni}; {pelxu}; {xunre}; {zirpu}; {xekri}; {blabi}; {carmi}; {kandi}
skicu	$x_1$ jungau fo $x_2$ fe $x_3$ fi lo du'u $x_2$ ckaji $x_4$	gismu	ski;skic;skicu	{jungau}; {ckaji}
skina	$x_1$ jvinu je sance vreji $x_2$ gi'e se finti $x_3$ lo nu $x_4$ zgana	gismu	kin;skin;skina	{jvinu}; {sance}; {vreji}; {finti}; {zgana}
skuro	$x_1$ clani je jarki kevna lo sefta be $x_2$	gismu	ku'o;skur;skuro	{clani}; {jarki}; {kevna}; {sefta}
slabu	lo nu $x_1$ ckaji $x_3$ cu pu zu co'a se sanji $x_2$ .i $x_1$ to'e cnino $x_2$ $x_3$	gismu	sau;slab;slabu	{ckaji}; {sanji}; {cnino}
slari	$x_1$ se vrusi lo ka slami fi'o ganse $x_2$	gismu	sar;slar;slari	{vrusi}; {slami}; {ganse}; {kurki}; {titla}; {silnycpina}; {krumami}
slasi	$x_1$ rutni je tabno marji $x_2$ gi'e kakne lo ka ranti je se tamgau gi'e ba bo jarbi'o	gismu	las;slas;slasi
mi'i	nalylogji jonma'o .i te jorne le li'erla'i le se li'erla'i ja'e lo preja be le se li'erla'i bei le li'erla'i .i le li'erla'i cu midju .i le se li'erla'i cu korbi	cmavo		{nalylogji} {jonma'o}; {preja}; {ga'o}, {ke'i}		mi'i	BIhI
mi'o	mi jo'u do	cmavo				mi'o	KOhA3
mi'u	tcita le se cusku le du'u la'e ri mintu la'e lo pu se cusku	cmavo		{mintu}		mi'u	UI3b
mo	preti le du'u makau brivla ja selbri ja bridi	cmavo		{brivla}, {selbri}, {bridi}, {preti}	cu'e	mo	GOhA
mo'a	namcu .i se zilkancu lo toldu'e	cmavo	mob	{namcu}; {toldu'e} {zilkancu}		mo'a	PA4
mo'e	galfi lo sumti lo meksu'i	cmavo		{sumti} {meksu'i} {galfi}		mo'e	MOhE
mo'i	galfi le se lidne cmavo be zo fa'a noi tcita fi le du'u zvati makau ku'o lo tcita be fi le du'u muvdu makau	cmavo	mov	{muvdu}		mo'i	MOhI
moi	galfi lu'e lo namcu lo selbrisle .i $x_1$ cmima $x_2$ noi porsi $x_3$ ku'o gi'e ckini le namcu $x_3$	cmavo	mom;moi	{porsi}; {mei}, {si'e}, {va'e}; {mai}, {mo'o}, {re'u}		moi	MOI
mo'o	galfi lo namcu lo tcita be lo selsku bei le du'u sinxa le du'u ri momlai le namcu loi ckupau	cmavo		{ckupau} {momlai}; {mai}		mo'o	MAI
mo'u	fi'o {mulfa'o}	cmavo		{mulfa'o}		mo'u	ZAhO
mu	namcu .i sumji li vo li pa .i se li'erla'i li vo lei kancu namcu	cmavo	mum			5;mu	PA1
mu'a	tcita le se cusku le du'u la'e ri mupli	cmavo		{mupli}		mu'a	UI3
mu'e	galfi lu'e lo bridi lo selbrisle .i $x_1$ mokca fasnu gi'e se sinxa lu'e le bridi	cmavo	muf	{mokca} {fasnu}		mu'e	NU1
mu'i	fi'o {mukti}	cmavo		{mukti}		mu'i	BAI
na'e	galfi lo selbrisle lo drata	cmavo	nal	{brivla} {drata}		na'e	NAhE
na'i	tcita le se cusku le du'u la'e ri na'e drani	cmavo				na'i	UI3a
nai	galfi le li'erla'i valsi lo smuni dukti	cmavo		{dukti}		nai	NAI
na'o	fi'o jai ve'a cafne	cmavo		{cafne}		na'o	TAhE
na'u	galfi lo selbri lo mekfancu	cmavo		{selbri} {mekfancu} {galfi}		na'u	NAhU
nau	ca dei bu'u dei	cmavo		zo nau tcita lo sinxa be lo tcini be dei .u la'e dei		nau	CUhE
ne	noi ke'a srana	cmavo		{noi} {srana}		ne	GOI
ne'a	fi'o se jibni	cmavo		{jibni}		ne'a	FAhA3
ne'i	fi'o se nenri	cmavo		{nenri}		ne'i	FAhA3
nei	brika'i dei	cmavo		{brika'i}, {dei}, {vo'a}, {vo'e}, {vo'i}, {vo'o}, {vo'u}		nei	GOhA
ne'o	mekfancu .i li ne'o abu du le fampi'i be abu	cmavo		{mekfancu}; {fampi'i}		ne'o	VUhU
ne'u	fi'o se snanu	cmavo		{snanu}		ne'u	FAhA1
ni	galfi lu'e lo bridi lo selbrisle .i $x_1$ klani fi $x_2$ gi'e se sinxa lu'e le bridi	cmavo	nil	{klani}		ni	NU
ni'a	fi'o se cnita	cmavo		{cnita}		ni'a	FAhA2
ni'e	galfi lo selbri lo meksu'i	cmavo		{selbri} {meksu'i} {galfi}		ni'e	NIhE
ni'i	fi'o {nibli}	cmavo		{nibli}		ni'i	BAI
ni'o	sinxa le du'u co'a jufmei lo cnino	cmavo		{cnino} {jufmei}		ni'o	NIhO
ni'u	namcu lerfu .i tcita le se li'erla'i namcu le du'u sinxa le du'u ri nonme'a	cmavo		{namcu}; {nonme'a}		ni'u	PA
no	namcu .i se sumji ro namcu ri .i se zilkancu lo kunti	cmavo	non	{namcu}; {kunti} {zilkancu}		no	PA1
no'a	brika'i le bridi poi vasru dei	cmavo		{brika'i}; {vasru} {bridi}		no'a	GOhA
no'e	galfi lo selbrisle lu'e lo nutli be tu'a zo je'a bi'i zo to'e	cmavo	nor;no'e	{brivla} {nutli}		no'e	NAhE
no'i	sinxa le du'u co'a jufmei lo slabu	cmavo		{slabu} {jufmei}		no'i	NIhO
noi	te jorne lo sumti lo ra'abri be ri .i tcita le se li'erla'i bridi le du'u ri pinka la'e le li'erla'i su'ivla	cmavo		{pinka} {ra'abri}; {poi}, {voi}; {ne}, {no'u}		noi	NOI
no'o	namcu .i se zilkancu lo fadni ja cnano	cmavo		{namcu}; {fadni} {cnano} {zilkancu}		no'o	PA
no'u	noi ke'a du	cmavo		{noi} {du}		no'u	GOI
nu	galfi lu'e lo bridi lo selbrisle .i $x_1$ fasnu gi'e se sinxa lu'e le bridi	cmavo	nun	{fasnu}		nu	NU
nu'a	galfi lu'e lo mekfancu lo selbrisle	cmavo		{mekfancu} {brivla} {galfi}; {na'u}		nu'a	NUhA
nu'e	tcita lo cmene ja ve skicu le du'u sinxa makau te cusku .e le du'u le cusku cu nupre fi le te cusku	cmavo		{doi}; {nupre}		nu'e	COI
nu'i	krasi lo logji jorne sumpoi noi se fanmo zo nu'u	cmavo		{sumpoi} {krasi}; {nu'u}		nu'i	NUhI
nu'o	ka'e je na pu ca'a	cmavo	nu'o	{ca'a}, {ka'e}, {pu'i}		nu'o	CAhA
nu'u	fa'orma'o zo nu'i	cmavo		{fa'orma'o}; {nu'i}		nu'u	NUhU
ny	pacimoi lerfu le lojbo	cmavo		{lerfu}		N;ny	BY2
o	logji jonma'o .i te jorne le li'erla'i sumti le se li'erla'i sumti ja'e lo rolnonvlina	cmavo		{logji} {jonma'o}; {sumti} {rolnonvlina}		o	A
o'a	tcita le se cusku le du'u la'e ri se jgira le cusku	cmavo		{jgira}		o'a	UI1
o'e	tcita le se cusku le du'u la'e ri cnijbi le cusku	cmavo		{cnijbi}		o'e	UI1
pa'i	mekfancu .i li abu pa'i by du le parbi be abu bei by	cmavo		{mekfancu}; {parbi}		pa'i	VUhU2
pai	namcu .i parbi le se klani be le korbi be lo cukla le se klani be le mijgresirji be fo cy. .i jbidu'o li cipipavopamuso	cmavo		{namcu}; {cukla} {korbi} {mijgresirji} {parbi}		pai	PA
pa'o	fi'o se pagre	cmavo		{pagre}		pa'o	FAhA1
pa'u	fi'o {pagbu}	cmavo		{pagbu}		pa'u	BAI
pau	tcita le se cusku le du'u la'e ri preti	cmavo				pau	UI3a
pe	poi ke'a srana	cmavo		{poi} {srana}		pe	GOI
pe'a	tcita le se cusku le du'u ri se sidysmu	cmavo	pev	{sidysmu}		pe'a	UI3c
pe'e	tcita le se li'erla'i jonma'o le du'u sinxa le du'u ri sumpoi te jorne	cmavo		{sumpoi} {jonma'o}		pe'e	PEhE
pe'i	tcita le se cusku le du'u la'e ri se jinvi	cmavo		{jinvi}		pe'i	UI2
pei	preti le du'u le te cusku cu cinmo makau kei .a le du'u le te cusku cu cinmo la'e le se cusku sela'u makau	cmavo		{cinmo} {preti}		pei	CAI
pe'o	tcita lo mekfancu lo du'u sinxa lo du'u ri lidne lo ro meksu'i be ri	cmavo		{lidne} {mekfancu}		pe'o	PEhO
pe'u	tcita lo cmene ja ve skicu le du'u sinxa le du'u makau te cusku .e le du'u le cusku cu cpedu fi le te cusku	cmavo		{doi}; {cpedu}		pe'u	COI
pi	namcu lerfu .i te sepli le mulna'u le frinu pagbu be le namcu	cmavo	piz			pi	PA3
pi'a	mekfancu .i li .abu pi'a by. du le nacmeimei be fo .abu bei fu by. .i .abu .e by. pinynacmei	cmavo		{mekfancu}; {pinynacmei} {nacmeimei}; {sa'i}		pi'a	VUhU4
pi'e	namcu lerfu .i nacle'u te sepli	cmavo		{namcu}; {nacle'u} {sepli}		pi'e	PA
pi'i	mekfancu .i li abu pi'i by du le pilji be abu bei by	cmavo		{mekfancu}; {pilji}		pi'i	VUhU1
pi'o	fi'o {pilno}	cmavo		{pilno}		pi'o	BAI
pi'u	nalylogji jonma'o .i te jorne le li'erla'i le se li'erla'i ja'e lo selcmipi'i	cmavo	piv	{nalylogji} {jonma'o}; {selcmipi'i}		pi'u	JOI
po	poi ke'a se steci le ka ce'u srana	cmavo		{poi}; {steci}; {srana}		po	GOI
po'e	poi ke'a se jinzi le ka ce'u se steci le ka ce'u srana	cmavo		{poi}; {jinzi}; {steci}; {srana}		po'e	GOI
po'i	fi'o {porsi}	cmavo		{porsi}		po'i	BAI
poi	te jorne lo sumti lo ra'abri be ri .i tcita le se li'erla'i bridi le du'u by. jimte le li'erla'i su'ivla le ka ce'u sinxa makau	cmavo		{jimte} {ra'abri}; {noi}; {pe}; {po}; {po'e}; {po'u}		poi	NOI
