@rowCount	188
w	d	t	g	v	n	s
zvasta	$x_1$ stali lo ka ce'u zvati $x_2$	lujvo	zvasta	zvati;stali
zvasto	$x_1$ zvati lo stodi	lujvo		zvati;stodi
zvastu	$x_1$ stuzi gi'e se zvati $x_2$	lujvo	zvastu	zvati;stuzi
zvatcu	$x_1$ nitcu lo ka ce'u zvati $x_2$ kei $x_3$	lujvo	zvatcu	zvati;nitcu	srana fa zo {klama} .e zo {nitcu} .e zo {klama} .e zo {bilga} .e zo {zifre} .e zo {cliva}
zvaxru	$x_1$ xruti lo ka ce'u zvati $x_2$ kei lo ka ce'u zvati $x_3$	lujvo	zvaxru	zvati;xruti	srana fa zo {xrukla} je zo {xruti}
zvijonse	$x_1$ pilno lo se zviki lo ka jonse $x_2$ $x_3$	lujvo		zviki;jonse
makcubi zei xotli	$x_1$ xotli gi'e na'o jai se friti fi lo makcubi fai lo ka xabju	zei-lujvo	makcubi zei xotli		srana fa zo {xotli} .e zo {makcubi} .e zo {citno} .e zo {friti} .e zo {xabju} .e zo {zdani}
samjudri zei uidje	$u_1$ $u_2$ uidje tepi'o lo nu ciska lo samjudri	zei-lujvo
skicu zei uidje	$u_1$=$s_1$ skicu $s_2$ $s_3$ $s_4$ gi'e uidje $u_2$	zei-lujvo
jajrlanparti	$x_1$ jmaji $x_2$ $x_3$ tezu'e lo nu vo'a jvikei simxu sepi'o lo samyzilkei	fu'ivla
jaldiga	$x_1$=$g_1$ garna gi'e jai gau jdika fai tu'a lo nu $x_2$=$j_1$ janli $x_3$=$j_2$ lu'u gi'e pagbu $x_2$=$j_1$	fu'ivla
jbabaji	$x_1$ na ka'e jimpe lo du'u makau du lo te cfipu be fi da be'o poi ka'e mukti lo nu da reisku $x_2$	fu'ivla
jbakiui	$x_1$ jbari la'o jutsi. Actinidia .jutsi	fu'ivla	jbakiui		srana fa zo {jbari} .e zo {grute} .e zo {tricu} .e zo {spati}
jbarubu	$x_1$ jbari gi'e se cupra su'o sparubu	fu'ivla			smudu'i zo {jbarnrubusi} gi'e se srana zo {jbari} .e zo {sparubu}
jbepibnafei	.i lo ka ce'u goi $x_1$ jbepibnafei ce'u goi $x_2$ cu ka ce'u goi $x_1$ du'u ce'u xi re goi $x_2$ nakni je'ikau fetsi lo ka ce'u remna kei lo ka makau plibu ce'u goi ko'a ca lo nu ko'a jbena	fu'ivla			.i .o'i zi'o se nandu lo ka tavla fi zo'e pe lo smuni be lo poi zi'evla ku'o se skicu valsi .i lo nu se preti lu ma jbepibnafei do cu te drani lo nu vo'a se danfu lo simsa be lo cmima be lu lo du'u mi nakni li'u ce lu lo dumnakni li'u ce lu lo dumfe'i li'u ce zo'e .i .e'usai do catlu zo'e pe zo {jbena} .e zo {nakni} .e zo {fetsi} .e zo {je'i} .e zo {kau} .e zo {cinse}
jbofuvi	$x_1$ fu'ivla $x_2$ lo jbobau $x_3$ lo jbobau	fu'ivla			zo jbofuvi jbofuvi fi zo jbojbofu'ivla
jborefota	$x_1$ jbopli je cu re mei je cu poi'i cafne fa lo nu ke'a simxu lo ka se pi'o lo fonxa ce'u tavla ce'u fo lo jbobau	fu'ivla			.i jbofuvi fi lo'u jbobo re mei fonxa tavla le'u
jbo'u'i	$x_1$ zdile $x_2$ ki'u le nu $x_1$ lojbo $x_3$	fu'ivla
jbovaseji	$x_1$ jbovlaste jmina $x_2$ boi $x_3$	fu'ivla			.i so'i roi casnu lo nu jmina lo valsi la jbovlaste .i ja'e bo si'au xamgu fa lo nu jbovaseji zo jbovaseji .i ta'e ku X xi 3 mintu la jbovlaste
jdibizu	$x_1$ zukte $x_2$ fi $x_3$ xoi $x_1$ fau ke'a jarco lo ka mo'u jdice ke'a gi'e birti lo du'u ke'a traji lo ka lakne fa lo nu ce'u se jalge $x_3$	fu'ivla			zo {zukte} zo {jarco} zo {jdice} zo {birti}
jedlno	$x_1$ se detri li no noi sinxa lo no moi be lu'i ro da poi djedi li pa gi'e pagbu $x_2$ noi jeftu li pa lu'u ku'o $x_3$	fu'ivla			.i va'o lo nu la gregoris cu manri kei zo jedlno ka'e basti zo {jednze} to lo terbri cu se manri lo si'o zasni jbotamgau zo {detri} jo'u zo {ciste} toi .i srana zo {detri} .e zo {detke'u} .e zo {jeftu} .e zo {jednpa} mu'anai
jednbi	$x_1$ se detri li bi noi sinxa lo bi moi be lu'i ro da poi djedi li pa gi'e pagbu $x_2$ noi jeftu li pa lu'u ku'o $x_3$	fu'ivla			.i da ka'e smuni zo jednbi .ijanai da'i za'u ze djedi cu pagbu lo pa jeftu to lo terbri cu se manri lo si'o zasni jbotamgau zo {detri} jo'u zo {ciste} toi .i srana zo {detri} .e zo {detke'u} .e zo {jeftu} .e zo {jednpa} mu'anai
jednci	$x_1$ se detri li ci noi sinxa lo ci moi be lu'i ro da poi djedi li pa gi'e pagbu $x_2$ noi jeftu li pa lu'u ku'o $x_3$	fu'ivla			.i lu lo jednci li'u cu dunli lu lo se {jefydeidetri} be li {ci} li'u lo ka smuni to lo terbri cu se manri lo si'o zasni jbotamgau zo {detri} jo'u zo {ciste} toi .i srana zo {detri} .e zo {detke'u} .e zo {jeftu} .e zo {jednpa} .e zo {jednre} .e zo {jednvo} .e zo {jednmu} .e zo {jednxa} .e zo {jednze}
