@rowCount	3536
bangu	w	n	d	t	s	r	g
loglan	nazbi	{ganynazbi}, {maknazbi}, {nazbyblo}, {nazbybricue}, {nazbycpu}, {nazbyhou}, {nazbyjao}, {nazbykla}, {nazbypafko}, {nirdynazbi}\n⬅ 2/2J bi | 3/3G nase | 2/3H nak | 2/3F nez | 3/5S nariz | 2/4E nose | 2/4C bi d	B is the «nose» of F.	C-Prim	2n		nose
loglan	nazbi	{ganynazbi}, {maknazbi}, {nazbyblo}, {nazbybricue}, {nazbycpu}, {nazbyhou}, {nazbyjao}, {nazbykla}, {nazbypafko}, {nirdynazbi}\n⬅ 2/2J bi | 3/3G nase | 2/3H nak | 2/3F nez | 3/5S nariz | 2/4E nose | 2/4C bi d	«nasal», pert. to noses.	C-Prim	a		nasal
loglan	nazbyblo	⬅ nazb(i)+y+blo(da)	K «peck» D.	2-Cpx	2v		peck
loglan	nazbybricue	⬅ nazb(i)+y+bri(ze)+cu(ts)e	K «snort» P.	3-Cpx	2v		snort
loglan	po nazbybricue		a «snort», a specific instance of -ing.		n		snort
loglan	nazbycpu	⬅ nazb(i)+y+cpu(la)	K «sniff» D.	2-Cpx	2v		sniff
loglan	po nazbycpu		a «sniff».		n		sniff
loglan	nazbyhou	⬅ nazb(i)+y+ho(ld)u	B is a «nostril» of F.	2-Cpx	2n		nostril
loglan	nazbyjao	⬅ nazb(i)+y+ja(gl)o	N is (a) «pitch» of angle C. (longitudinal up/down angle of aircraft's attitude).	2-Cpx	2n		pitch
loglan	nu nazbyjao		C is an angle of «pitch».		n		pitch
loglan	nazbykla	⬅ nazb(i)+y+kla(bu)	B is a «handkerchief».	2-Cpx	1n		handkerchief
loglan	nazbypafko	⬅ nazb(i)+y+pafko	K «root» in D for P, dig with the snout.	2-Cpx	3v		root
loglan	nazdei	⬅ na(d)z(o)+de(nl)i	B is a/the «day» of V, some event.	2-Cpx	2n		day
loglan	nazdei	⬅ na(d)z(o)+de(nl)i	«today», the current day, incompl.	2-Cpx	av		today
loglan	nazgozdio	⬅ na(d)z(o)+go(d)z(i)+di(rc)o	P is a/the «heading»/«course» of vessel B through point V.	3-Cpx	3n		heading,course
loglan	nazi	⬅ na+zi	right «now»/at this «instant».	Cpd	av		now,instant
loglan	nazi	⬅ na+zi	at the time «when», momentary event clauses.	Cpd	c		when
loglan	nazi	⬅ na+zi	«at»/«coincident» with ..., an instant in time.	Cpd	pp		at,coincident
loglan	naznai	⬅ na(d)z(o)+na(tl)i	B is a/the «night» of event V.	2-Cpx	2n		night
