@rowCount	3257
w	d	cache	s	q
lu klama fi vo'e je'i na'e bo vo'e li'u lu .y vo'e li'u	One way or round trip?' 'Um... let me think. Round trip.'	lu,klama,fi,vo'e,je'i,na'e,bo,li'u,.y,y,one,way,or,round,trip','um,let,me,t'ink	👎👎	OOOPMNSPPOOMMOSMNKPRQMNQOPOQMNMWFQMQQPSQORTPOKLRRPRMLPMPNOLQKINPNLNLKPRPKLQLROPQNPOMRLPQPOMORPOQMQQOPPONPPQNSNNNULMNOPQMKOSOMMUOMRQPROLOKOQNRMSMNQQNNJQPQLOLRPMSKRMPOPOPHPKOPQMRLPMNNMNOQOOPTQPNNONMQNPQNOOLQPSMMOKORRNKNKMQTOMOMOOSQOQNUQKOOMSKTLLQOKKONRPNKPMLQLQVPNORMMMRNOOTMOOQKQNMNNONONRQMPNPLPNSPOQPSMOMMLNORLMMPPONRLOOOORPPQOPMMQSOROPLOLQKNOLNQNTQJMRJPQJQSSNOQOSONPNLNLPORSRLLJSOPON
ja'o .i'a nai ko lifri lo ka na jimpe fi ce'u	Have fun being misunderstood then.	ja'o,.i'a,nai,ko,lifri,lo,ka,na,jimpe,fi,ce'u,i'a,have,fun,being,misunderstood,t'en	👎👎	PNPRNKSORMRIPOPMPSONNOMOKMNRPMLPLRNPOSSMOQONPPRQNMLQNQOPJSOPPOQPQRPOLPOPPQOQORPTORMNNKLPMPNOPQSNRQOUNRPNNQLPMOLLOPQSRONMOQRVNNNOMOMOOPOMQKPOLLOSMQOOPKMNMRRNROLOQOPKQMOLRRIMQSTNJNMRQOONPQQOQOMLOOONMKQNNTNOPOPMPMKOMJVKPPMOQQMOIQKQNOOMRPROMOPJSOMSPQKNNSSMIMOTKMOKLPPMKNILNQUOQPRNLMOMSPMOROMNMMKQOPOMNMNKKNQNNOQNLOMRNPOMORLOOQSNNNLNOPPIRPRQOOMSMSLMPMORSRNSQNMMNPPSNOTPIQNMKLSPOQTNLQLPQONQ
.a'a sei ko di'a co'e ma ba la'e do'i fasnu	Aha, go on, what happened next?	.a'a,sei,ko,di'a,co'e,ma,ba,la'e,do'i,fasnu,a'a,go,on,w'at,'appened,next	😐	LNMNNMNSPLQLJQMOKLILQRLOPSNQKPNQMPMRPNRMQLMRNQQKLQNRMNQNNNTPRMPXSNMONSWOOPPPQPQNMIMPNLKNOQOPRSNMNPPPOTMMPNNOOQMOKLORSNPNOQMSLLNOQKNTPSOOMQPMLQPORRNNRPSOOUNLRQMPOOOPOQLOPROQMMSQPOKOPQNOMOORRTONOJNKPNQOROKQLOLMROMNNOPLNLKRSPOOMNJLRMONOOQPQPOMOPOQSNOQMPSOMNRKNSTPOJPKRLPUNPNSRMNMQPNNONOOPMNQLOLOPPSPLPPPLNOPQMMMRONOOMPMRSQOMPLOPRKOPMMOSKQQPNOJLPMMNNORNLOMJNIOQNQLMPRSPNMLOMOMMRSJMQKQRKOR
.a'a cu'i ko denpa lo nu gau mi mo'u zukte	Eh, just a second, let me finish this.	.a'a,cu'i,ko,denpa,lo,nu,gau,mi,mo'u,zukte,a'a,e',just,a,second,let,me,finis',t'is	😐	MKOOONPOTLMJLQMOPRKQROMMONORKMQMNOQQNPQMRKPTOPPOKNNPNLTSOLQMQNLRSMNMLQSROPLMMNPMNIPQKMOSONORQRONMRIQRMKNPKORNNONFQRRTRTOQONQOOOOPOLPRRJPKOQNNNPPOPPNPMQPPOPMTPQPMOPNOPLKMROSMOQMORNRPMOPNRNPOTNLPMOQPMOLTKNMQOMOPNJPPOQNNPISRNLOOMPORLRQOPRPQKSQPNOONQOQNPPMNOSLKNOPQJNOOMOVQKOUOPPPOLPKNOSMONMPMLMROPNNIONNRJLNMNPRPPOMONOQTNMORPKMOTMPNMRSPSPOOLPLNPPLOOUONNQQJOLLTPOLPPRTRNPMMNQJPQQONPKPSOQP
mi jundi .a'a nai	La, la, la, I'm not listening.	mi,jundi,.a'a,nai,a'a,la,i'm,not,listening	👍👍	SHNKPORKTMNMNMMOOLNMNSMTPPPNLNNROOOMMOQTNLSMMJKOQPNPMRKPOTRSONMPNPPRIRNSOPROPNQNNKLPLPOQOMKQMQQRQOJTRQNKMLKQMLPNNOLPTMONNPNPLKLOPMRQOMMNOQQPOLSRQPLPOQPQNPOMNPNRSPRMPRPLSPNNOQQPOOPQINPPNQOORSQLQPPNULPLTTQPNQNPQOPSRNNNMOHQQKMOPPQNLORRSSMLQNTNTNLQLNPQKMPRNNNLLMLUOQNMLPPOPJLOIOOPKPMPMOOMOOLLNOOPRQPPINNQHPMNPSMQRRQPONPQKNNOORLLOMPPPPOLNPQOOONONQPNRNRNPNPQHIKMPOPMQPOSPNSNOPMPOMUOOOKQPRMN
.a'e pu'o tsunami	There's going to be a tsunami!	.a'e,pu'o,tsunami,a'e,t'ere's,going,to,be,a	😐,👍👍	MOSOOMLMNPMJPQLPKMNRPTKMMQNMMPQMKOQQONQMLKMQPNNLOPOMPLNKNKQPOPPNQPQSPQOQUPNIQPQRRGNLNQMQPQLLRSKSJLNSLSPNQLLRONNOQPMOPLKMQONRQQLOPQQQOQLONLLNKROMONMMNMMQNQQNPPKPOPOLKOLOSQMORNSQPLNOMNPPRMOONLPOQSTMONNQMRKQPPORNQQMTQMKMOMPSNOOPQLNPLRSMOKOTPMPWPNONMNRORPLMOIRNLNPRMMOPRQQNPPVOMNNOOQPSLOMMOORPMOQLQTLHQNLORPONQROQLQMQPIOOONOSOMMPQNRNLPTNSNPQMLOLOOPPNMTOMOMJNLOMPQMNQPSOMOQQPQOPPURNNLTTLPQ
.a'e ba vilxasybo'a	There's going to be a tsunami!	.a'e,ba,vilxasybo'a,a'e,vlile,xamsi,boxna,t'ere's,going,to,be,a,tsunami	👍👍	MOSOOMLMNPMJPQLPKMNRPTKMMQNMMPQMKOQQONQMLKMQPNNLOPOMPLNKNKQPOPPNQPQSPQOQUPNIQPQRRGNLNQMQPQLLRSKSJLNSLSPNQLLRONNOQPMOPLKMQONRQQLOPQQQOQLONLLNKROMONMMNMMQNQQNPPKPOPOLKOLOSQMORNSQPLNOMNPPRMOONLPOQSTMONNQMRKQPPORNQQMTQMKMOMPSNOOPQLNPLRSMOKOTPMPWPNONMNRORPLMOIRNLNPRMMOPRQQNPPVOMNNOOQPSLOMMOORPMOQLQTLHQNLORPONQROQLQMQPIOOONOSOMMPQNRNLPTNSNPQMLOLOOPPNMTOMOMJNLOMPQMNQPSOMOQQPQOPPURNNLTTLPQ
.a'e ba vlile tcima	It's going to be violent weather!	.a'e,ba,vlile,tcima,a'e,it's,going,to,be,violent,weat'er	👍👍	OPTSPOLLLRMLQPMNNMOSKUMPOPMRMQPOMPQKQJPQLLONQQNNQQOPOOMMSKQQMQIPSOQSPQOPTNNPNPSPRJOMLRPQQOMOPSJUMJKSMPPPPMMMKOMOONQRPPLPOMLTRNLORNQSPONJLOOMMPONOPNOKMNRNQQNNOOOOROMKONPSOKMTOPOKMMQORPQTKPNMQPKPNRQMOQRNNLORNQRMRPNONNNLQNMSSPOPOLNNMPTPNNNRNTNQQPPMMMROMRPLQKPLPORULMNPPRONQQSQNQOLQROOKHOKQPSRNJNPRPPJRPKROPOMRMQOLOQQPMPNOMOPOONQROOPPSQQPNQQJKNLNPSRMNQOTLLJLIMNQQKKNMQOKNQOMOORSRSOOPQPJLR
ba'a lo cabdei zu zabna	Today is going to be a good day!	ba'a,lo,cabdei,zu,zabna,le,cabna,djedi,today,is,going,to,be,a,good,day	👍👍	MRTNMNRKLPOSOSMNMQKRKPOQKQOKPNIPLOOLQHQRONNROQPOSNKNPMORPLSOPPQNPMNQKQJLQNORONPOSLNOMPMORLKOMQNNLQIUPVNKSONRLLPQQRPRQRLSQLROOPPOPQQSMNLMMJOMKOJNMPNTMONNORPMNONNQRONJOMNROQKOONQONKMPPLNNPQOMQNKLPQOMOTPNOPTONPTQOQJURNQNQKQQQPOSPJRMLPPLQPRNOOMSPOPJPKSPSQQMNKMLOQOTKONNRPONPOQNSNNPPOPNLNPGRORPLMRORPPLOMQRMPNKRONMLSQOTKOOPNOQPKPNOMLMPUPKPQOPONOPNPSRQMPNOQTLNLMOMRLNOMQOMQNLNPPRROSPPPPONNR
mi pu'o sipna	I'm going to bed.	mi,pu'o,sipna,i'm,going,to,bed	G−	NMNNQOPQTMJJOQOQQNMQLRQRPPQLOLJNNORKNKSOQMOORQMMQSNRPNRROMTNNONQOQORKSMPQOPPQPTMPMPOLPPSMNPQLQNSNMNURUQKNOMRNLRPNTQQOQPNQMQOMLKOSQOTPQNPLSMPKPQNOQMONPPRMOOKNQNNMQPNKQMNRMNNNNQPKNLOJMKONPRQPPLNMSQOPKQMRPNORPMPSRPKQQNNMPMNRSIOQNHONKRLLNQOSQVNSQLQKOMMOQRSMOOKKLPRSQNNQMOTNOLRPSRMNOMNMNNRKTONPMLPOQMNMQPKRMOMOPPOMHTUNKLMRNPOPNPOPOLONNPMNNNONMPMLMQOSQPTQPOTLLLKRMSKNNMQMMSOLPNMRPNOONOQQOOI
.a'e nai mi klama lo ckana	Yaaaawn... I'm going to bed.	.a'e,nai,mi,klama,lo,ckana,a'e,yaaaawn,i'm,going,to,bed	👍👍	MLOPMQROTKKMNQMPPOLRNRRROORNOLOOMPRKOLQRQPQOPLONOTMOPOVROKRPMRNSMPONLUQOOQLNQPRLNNPNLPNRLOOOPPMSNPLPPTQMNRLQNLQPMTNROQPSRNTPMMKOQQPQQMNRLPLNKMSLLQMQOMQQLMSMLQPMMRRPOPMNNNNPQMPPNPONMNNOQPTQQPNJORRROLPOQPRPNQNPPSPLOQNLMPKMRQKOOMJPMMQOLOOPTPSPQOLOMMMOQORXLQNHIIOSRNPLPMKUMQLNNSPNQOKONQQQKRPNQONQPMQLOQNLOLMJNNNMSKWVMLNOPONOMOQNSPKPMONOOQMPQNOLMONOOSNTPQQRKNLMQNQMMOMOLKSOMNPKPOPNQMMPUOOM
