@rowCount	878
w	d	n	t	g	r	s	v	b
slami	$x_1$ — кислота состава $x_2$; $x_1$ содержит кислоту состава $x_2$	Прилагательное: $x_1$ — кислотный; $x_2$: в состав входит $x_2$ (не обязательно полное описание состава) {slari} (кислый), {nimre} (цитрус)	gismu	кислота	slam;slami
slanu	$x_1$ — цилиндр (форма) из материала $x_2$	{kamju} (колонна [столб]), {gunro} (катиться)	gismu	цилиндр	slan;slanu
slari	$x_1$ кислый на вкус для $x_2$	{slami} (кислота), {titla} (сладкий), {kurki} (горький), {nimre} (цитрус)	gismu	кислый	sar;slar;slari
slasi	$x_1$ — пластик/пластмасса/полимер вида $x_2$; $x_1$ содержит пластмассу	{rutni} (искусственный), {boxfo} (пластина), {bukpu} (ткань [текстиль])	gismu	пластик	las;slas;slasi
sligu	$x_1$ — твердое тело из вещества/состава $x_2$, в условиях $x_3$; $x_1$ — твердый (а не жидкий или газообразный)	$x_2$: в состав входит $x_2$ (не обязательно полное описание состава); условия $x_3$ включают температуру и давление {runta} (растворяться), {litki} (жидкость), {gapci} (газ), {jdari} (крепкий), {dunja} (замерзать [затвердевать]), {pulce} (пыль), {jduli} (желе)	gismu	твёрдый	lig;slig;sligu
slilu	$x_1$ колеблется/осциллирует с частотой $x_2$, проходя через последовательность состояний $x_3$ (полное описание)	Также: качается; Также: с использованием как [slilu], так и {desku}: туда-сюда, туда и обратно {dikni} (регулярный [циклический]), {rilti} (ритм), {morna} (узор), {desku} (трястись), {janbe} (гонг), {boxna} (волна)	gismu	осциллировать	sli;slil;slilu
sliri	$x_1$ — сера (S); $x_1$ содержит серу	Метафора: зловонный, вулканический {xukmi} (доза [химического вещества]), {panci} (запах), {pelxu} (желтый)	gismu	сера	slir;sliri
slovo	$x_1$ — славянский в аспекте $x_2$	{softo} (советский), {rusko} (русский), {vukro} (украинский)	gismu	славянский	lov;lo'o;slov;slovo
sluji	$x_1$ — мышца/мускул (часть тела), управляющая $x_2$ (чем), в составе тела $x_3$	Метафора: источник физической силы {rectu} (мясо), {xadni} (тело), {zajba} (атлет)	gismu	мышца	slu;sluj;sluji
sluni	$x_1$ — лук вида/сорта $x_2$	{stagi} (овощ)	gismu	лук (растение)	slun;sluni
smacu	$x_1$ — мышь вида/разновидности $x_2$	{ratcu} (крыса)	gismu	мышь	smac;smacu
smadi	$x_1$ имеет/строит догадки/гипотезы/предположения, что верно/истинно $x_2$ ({du'u}) в отношении предмета $x_3$	Также: $x_1$ догадывается, подозревает, {предполагает}, что $x_2$; $x_1$ (кому) кажется, что $x_2$; $x_2$ — догадка, гипотеза, {предположение}; слова, описывающие эпистемологию, обычно имеют место типа {du'u} {djuno} (знать), {facki} (открывать [узнавать, находить]), {jijnu} (постигать [интуитивно]), {sruma} (допускать [предполагать])	gismu	строить догадки	smad;smadi
smaji	$x_1$ — молчит/безмолвствует/не воспринимается в точке наблюдения $x_2$ по критерию $x_3$	{kerlo} (ухо), {panpi} (в мире), {savru} (шум), {tirna} (слышать)	gismu	молчать	sma;smaj;smaji
smani	$x_1$ — обезьяна/примат вида/разновидности $x_2$	{mabru} (зверь), {danlu} (животное)	gismu	обезьяна	sman;smani
smoka	$x_1$ — чулок/носок (гибкое одеяние для нижней части ног) из материала $x_2$	{cutci} (обувь), {taxfu} (одежда)	gismu	носок	smo;smok;smoka
smuci	$x_1$ — ложка/ковш/черпак, предназначенная для $x_2$, из материала $x_3$	{dakfu} (нож), {forca} (вилка), {tutci} (инструмент)	gismu	ложка	muc;smuc;smuci
smuni	$x_1$ — смысл/значение/интерпретация $x_2$ (чего), понимаемый/распознаваемый $x_3$ (кем)	«Значение» как «обозначаемое», в референциальном/ссылочном смысле: {selsni}, {snismu} {jimpe} (понимать), {sinxa} (символ), {valsi} (слово), {tanru} (), {gismu} (), {lujvo} (), {cmavo} (), {jufra} (фраза)	gismu	значение	mun;smu;smun;smuni
snada	$x_1$ успешно/удачно завершает/совершает/добивается/достигает $x_2$ в результате усилия/попытки $x_3$	Прилагательное: $x_1$ — успешный; $x_2$: событие/состояние/достижение {fliba} (терпеть неудачу), {troci} (пытаться), {jgira} (гордиться)	gismu	успешный	sad;snad;snada
snanu	$x_1$ находится к югу от $x_2$ согласно системе отсчета $x_3$	{berti} (север), {stuna} (восток), {stici} (запад), {farna} (направление)	gismu	юг	nan;snan;snanu
snidu	$x_1$ длится $x_2$ секунд (по умолчанию 1 секунду) по стандарту $x_3$	{cacra} (час), {junla} (часы [механизм]), {mentu} (минута), {tcika} (время [события]), {centi} (санти), {decti} (десятый [доля 1/10]), {dekto} (дека), {femti} (фемто), {gigdo} (гига), {gocti} (йокто), {gotro} (йотта), {kilto} (кило), {megdo} (мега), {mikri} (микро), {milti} (милли), {nanvi} (нано), {petso} (пета), {picti} (пико), {terto} (тера), {xatsi} (атто), {xecto} (гекто), {xexso} (экса), {zepti} (зепто), {zetro} (зетта)	gismu	секунда	nid;snid;snidu
snime	$x_1$ — снег	{bratu} (град [осадок]), {carvi} (дождь), {bisli} (лед)	gismu	снег	si'e;snim;snime
snipa	$x_1$ липнет/прилипает/пристает к $x_2$; $x_1$ — липкий, клейкий	Липкой поверхностью является $x_1$ — $x_2$ не обязан быть липким {tarla} (смола), {viknu} (вязкий)	gismu	прилипать	nip;snip;snipa
snuji	$x_1$ - это сэндич с $x_2$ (не обязательно пищей), зажатым между слоями $x_3$	См. {midju} - 'середина', {nenri} - 'внутри', {sepli} - 'отделенный'), {senta} - 'слой', {jbini} - 'между', {bitmu} - 'стена', {sruri} - 'окружать'	gismu	сэндвич	nuj;snuj;snuji
snura	$x_1$ защищен/находится в безопасности от угрозы $x_2$ (событие)	{ckape} (опасный), {kajde} (предостережение), {marbi} (убежище), {terpa} (бояться), {xalni} (паниковать), {bandu} (защищать)	gismu	защищённый	nur;nu'a;snur;snura
snuti	$x_1$ — непреднамеренно/случайно со стороны $x_2$; $x_1$ — случайность	{zukte} (действовать), {cunso} (случайный)	gismu	непреднамеренный	nut;snut;snuti
