@rowCount	922
w	d	n	t	s	g	r	b	v
a	Ett logiskt definierande konjunktiv: sumti eftertänkt eller.	inklusiv disjunktion (p eller q eller båda), kallas inom datavetenskap ofta för OR. Ibland kallas detta för och/eller i dagligt tal.	cmavo	A	eller;och/eller;OR;sumti eller
a'a	{a'a} - definition attitydmarkör: uppmärksam\n{a'acu'i} - ouppmärksam\n{a'anai} - undvikande.		cmavo	UI1	uppmärksam
a'a cu'i	{a'a } - definition attitydmarkör: uppmärksam\n{a'a cu'i} - ouppmärksam\n{a'a nai} - undvikande.		cmavo-compound	UI*1	ouppmärksam
a'a nai	{a'a } - definition attitydmarkör: uppmärksam\n{a'a cu'i} - ouppmärksam\n{a'a nai} - undvikande.		cmavo-compound	UI*1	undvikande
a bu	bokstaven a.		bu-letteral	BY*	a
baktu	$x_1$ är en spann/hink/ämbar/pyts/bytta/[skål]/dunk]/burk/tunna/djup behållare med vid öppning med innehåll $x_2$, tillverkad av material $x_3$	Se även {botpi}, {patxu}, {tansi}, {lante}, {lanka}.	gismu		ämbar;burk;bytta;hink;innehåll;pyts;spann;tunna	bakt;baktu
a'e	{a'e} - attitydmarkör: pigghet\n{a'enai} - utmattning.	Se även {sanji}, {cikna}, {tatpi}.	cmavo	UI1	alert;pigg
a'e nai	{a'e } - attitydmarkör: pigghet\n{a'e nai} - utmattning.		cmavo-compound	UI*1	utmattning
badri	$x_1$ är ledsen/dyster/betryckt/bedrövad/nedstämd/[olycklig/känner sorg] över $x_2$ (abstraktion).	Se även {klaku}, {gleki}, {betri}, {cinmo}, {junri}, {uinai}.	gismu		bedrövad;betryckt;dyster;låg;ledsen;nedstämd;nere;olycklig;sorgsamhet;sorgsen	dri;badr;badri
bajra	$x_1$ springer/löper på underlag $x_2$ med lemmar $x_3$ med löpstil $x_4$.	Se även {cadzu}, {klama}, {litru}, {stapa}, {plipe}, {cpare}.	gismu		löpa;löpstil;springa	baj;bajr;bajra
bakfu	$x_1$ är en bunt/lunta/knippe/packe/knyte/[bylte/kärve/bal/kolli/paket/klase] [form] innehållande $x_2$, sammanhållen av $x_3$	En enhet av flera sammanbundna saker. Se även {daski}, {dakli}, {tanxe}.	gismu		binda ihop;binda samman;bunt;klase;knippe;knyte;lunta;packe;säkra;sammanbindning;surra;surrning	baf;bakf;bakfu
a'i	{a'i} - attitydmarkör: ansträngning\n{a'icu'i} - ingen särskild ansträngning\n{a'inai} - vila.		cmavo	UI1	ansträngning
ai	attitudinal: \n{ai} - avsikt\n{aicu'i} - obeslutsamhet\n{ainai} - avslag/vägran.		cmavo	UI1	avsikt
a'i cu'i	{a'i } - attitydmarkör: ansträngning\n{a'i cu'i} - ingen särskild ansträngning\n{a'i nai} - vila.		cmavo-compound	UI*1	ingen särskild ansträngning
ai cu'i	attitudinal: \n{ai } - avsikt\n{ai cu'i} - obeslutsamhet\n{ai nai} - avslag/vägran.		cmavo-compound	UI*1	obeslutsamhet
a'i nai	{a'i } - attitydmarkör: ansträngning\n{a'i cu'i} - ingen särskild ansträngning\n{a'i nai} - vila.		cmavo-compound	UI*1	ta det lugnt;vila
bakri	$x_1$ är kalk/krita från källa $x_2$ i form $x_3$	Se även {pinsi}, {blabi}, {jilka}.	gismu		kalcium;kalk;kalksten;krita	bakr;bakri
a'o	{a'o} - attitydmarkör: hopp\n{a'onai} - desperation.		cmavo	UI1	hopp
ba'a	{ba'a} - evidential: jag förväntar mig\n{ba'acu'i} - jag erfar\n{ba'anai} - jag kommer ihåg.		cmavo	UI2	jag förutser
anji	$x_1$ är ett kinesiskt hanzi/japanskt kanji (logogram) med betydelse $x_2$ och radikal/fonetikum (tecknets delar) $x_3$.		fu'ivla		hanzi;kanji;kinesiskt skrivtecken	anji
a'o nai	{a'o } - attitydmarkör: hopp\n{a'o nai} - desperation.		cmavo-compound	UI*1	desperation
balji	$x_1$ är en blomlök av växt/art $x_2$; [metafor: rund, svullen, utputande]	Se även {punli}, {batke}.	gismu		blomlök;lök;rund	balj;balji
balni	$x_1$ är en balkong/utsprång/överhäng/avsats/[hylla] på byggnad/struktur $x_2$	Se även {kajna}, {punli}.	gismu		avsats;balkong;hylla;kant;överhäng;utsprång	baln;balni
balvi	$x_1$ är i framtiden av/senare än/efter $x_2$ i tidsföljd; $x_1$ är den senare; $x_2$ är den förra.	Även följd, komma/följa efter, efterträda, succedera, [avlösa], efterträdare, (endast tidsordning (annars använd {lidne}); aorist i det att x1 kan överlappa i tid med x2 så länge som det utsträcker sig efteråt; icke-aorist futurum = {cfabalvi}. (standard x2 är rumstid referensen, varpå:) x1 kommer att ske.Se även {lidne}, {cabna}, {purci}, {farna}, {lerci}, {ba}.	gismu		efter;efterträda;efterträdare;följa efter;framtid;komma efter;senare;succedera	bav;balv;balvi
