@rowCount	1316
w	d	t
Lojban	toki Losupan. en la toki pona. taso la toki pona ala	toki
kijetesantakalu	any animal from the Procyonidae family, such as raccoons, coatis, kinkajous, olingos, ringtails and cacomistles. Also may reference an armadillo, although this is not official. not obsolete, never used seriously.	toki
... o tawa tomo sina!	... go to your house!	phrase
a a a! ni li musi.	Hahaha! That's funny.	phrase
a! akesi li wile moku e mi!	Ahh! The dinosaur wants to eat me!	phrase
ijo ike li lon monsi mi.	Bad things are behind me.	phrase
ijo li lon oko mi.	Something is in my eye.	phrase
ijo li lukin e mi.	Something is watching me.	phrase
ilo li lon poki.	The tools are in the container.	phrase
jan Lisa o, toki.	Hello, Lisa.	phrase
jan Susan li nasa.	Susan is crazy.	phrase
jan ike li kama la o seli e lipu ni.	If the enemy comes, burn these papers.	phrase
jan ike li utala e ona mute.	An enemy is attacking them.	phrase
jan ike ni li jo e len nasa.	That bad person has strange clothes.	phrase
jan jelo laso lili li kama tan sewi.	A little green person came from the sky.	phrase
jan laso jelo lili li kama tan sewi. /	A little green person came from the sky.	phrase
jan lawa li moku e telo jaki.	The leader drank dirty water.	phrase
jan lawa pi tomo tawa telo li moku.	The captain of the ship is eating.	phrase
jan li lukin sama pipi.	People look like ants.	phrase
jan li pona.	People are good.	phrase
jan lili li lukin e jan suli.	Children watch adults.	phrase
jan lili pi jan Keli li musi.	Keli's child is funny.	phrase
jan mute li kama.	Many people came.	phrase
jan mute lili li kama.	A small amount (of) people are coming.	phrase
jan pi nanpa wan li lon.	The first person is here.	phrase
jan pona mi li lon poka mi.	My friend is beside me.	phrase
jan seme li lon? / jan seme li lon ni?	Who's there?	phrase
jan seme li olin e sina?	Who loves you?	phrase
jan seme pi kulupu ni li suli?	Which people of this group are important?	phrase
jan sin li kama ala kama?	Are more people coming?	phrase
kalama musi pi jan Enja li pona.	Enya's music is good.	phrase
kasi kule li pona lukin.	Flowers are pretty.	phrase
ken la jan Susan li kama.	Maybe Susan will come.	phrase
ken la ona li lon tomo sona.	Maybe he's in school.	phrase
kili li moku li pona.	Pineapple is a food and is good.	phrase
kule laso loje li pona tawa mi.	I like the color purple.	phrase
kule loje laso li pona tawa mi. /	I like the color purple.	phrase
kule seme li pona tawa sina?	Which color do you like?	phrase
linja mi li telo.	My hair is wet.	phrase
lipu ni li pilin lete.	This paper feels cold.	phrase
lon	to be in/at/on, to exist; in, at, on	word
lon ala	no	phrase
lupa ni li suli.	That hole is big.	phrase
ma li lon anpa mi.	The land is beneath me.	phrase
mama meli o awen.	Mama, wait.	phrase
mani pi ma ante li pona tawa mi.	I like currency of other nations.	phrase
mi jan pi toki pona.	I am a Toki Ponan.	phrase
mi jo e ilo.	I have a tool.	phrase
mi jo e tomo tawa tu.	I own two cars.	phrase
mi kama tan ma Elopa.	I come from Europe.	phrase
mi ken ala kute e toki sina.	I can't hear your talking.	phrase
mi ken ala lape.	I can't sleep.	phrase
mi kin wile tawa tomo mi.	I still want to go to my house.	phrase
mi lon.	Yes, i do.	phrase
mi lukin ala e poki laso.	I don't see the blue bag.	phrase
mi lukin e ma lon poka pi jan pona mi.	I look at the land with my friend.	phrase
mi lukin e ma poka jan pona mi.	I look at the land with my friend.	phrase
mi lukin e waso tu wan.	I saw three birds.	phrase
mi moku.	I eat. / I am food.	phrase
mi mute li moku e telo nasa mute.	We drank a lot of vodka.	phrase
mi mute li pana e moku tawa ona mute.	We gave them food.	phrase
mi mute o moku e kala.	Let's eat fish.	phrase
mi pona ala pona tawa sina?	Do you like me?	phrase
mi pona e ilo suno kepeken ilo lili.	I fixed the flashlight using a small tool.	phrase
mi pona tan ni: mi lon.	I'm okay because I'm alive.	phrase
mi taso li lon.	I'm alone.	phrase
mi tawa (said by person leaving); tawa pona (said by person staying)	good-bye	phrase
mi tawa supa lape.	I'm going to bed.	phrase
mi tawa!	Bye!	phrase
mi wile ala toki tawa sina.	I don't want to talk to you.	phrase
mi wile e ilo moku.	I need a fork.	phrase
mi wile e sitelen ma.	I want the map.	phrase
mi wile e soweli lili.	I want a puppy.	phrase
mi wile pana e ko jaki.	I need to crap.	phrase
mi wile pana e telo jelo.	I need to pee.	phrase
mi wile tawa ma Oselija.	I want to go to Australia.	phrase
mi wile tawa tomo ona kepeken tomo tawa mi.	I want to go to his house using my car.	phrase
mi wile tawa. taso mi ken ala.	I want to go, but I can't.	phrase
moku li pona tawa ona.	He loves to eat.	phrase
mu.	Meow. Woof. Grrr. Moo. (sounds made by animals)	word
mute seme?	how much?	phrase
ni	this, that	word
ni li musi ala musi? musi.	Is that funny? Yes.	phrase
ni li suwi ala suwi?	Is that sweet?	phrase
ni li tawa jan pona mi.	This is for my friend.	phrase
nimi mi li Ken.	My name is Ken.	phrase
o lukin e pipi loje ni.	Look at that red bug.	phrase
o open e lupa.	Open the door.	phrase
o pana e suwi tawa mi!	Give me a lollipop!	phrase
o pilin e uta mi kepeken uta sina.	Kiss me.	phrase
o tawa!	Go!	phrase
o wan!	Unite!	phrase
ona li jan pona pi kalama musi.	He is a good musician.	phrase
ona li moku e kili.	She's eating fruit.	phrase
ona li pali e ni kepeken nasin seme?	How did she make that?	phrase
ona li tawa ala telo.	He didn't go to the lake.	phrase
ona li wile pakala e pipi.	He wants to squish the spider.	phrase
ona mute li  utala toki.	They are arguing.	phrase
pakala!	f-ck! d-mn!	word
pipi li lon ala lon poka mi?	Is a bug beside me?	phrase
pipi li moku e mi.	The mosquito bit me.	phrase
pipi li wile moku e telo.	The bug is thirsty.	phrase
pipi seme li pakala e sina?	Which bug hurt you?	phrase
poki ni li lon jaki.	That bottle is in the dirt.	phrase
pona	yay!, cool, good	word
seli li lon la mi pana e telo tan selo mi.	When it's hot, I sweat.	phrase
sewi li laso.	The sky is blue.	phrase
sina lukin ala lukin e sitelen tawa X-Files?	Do you watch The X-Files?	phrase
sina sona ala sona e toki Inli?	Do you speak English?	phrase
sina suli.	you (are) big/important.	phrase
sina tawa poka jan seme?	Whom did you go with?	phrase
sina wile e moku anu telo?	Do you want food, or do you want water?	phrase
sina wile kama anu seme?	Do you want to come or what?	phrase
sina wile pali e seme?	What do you want to do?	phrase
sina wile toki e tan tawa mi.	You have to tell me why.	phrase
soweli li toki e mu.	Cows say moo.	phrase
suno li lon sewi mi.	The sun is above me.	phrase
telo li pona.	Water is good.	phrase
telo li suli.	The lake is big.	phrase
telo nasa pona!	generic toast	phrase
tenpo pimeja ni la mun li suli.	The moon is big tonight.	phrase
tenpo pimeja pini la mi lukin e sitelen tawa X-Files.	Last night I watched X-Files.	phrase
tenpo suno kama la mi wile pali.	I have to work tomorrow.	phrase
toki Inli	English	phrase
toki pona	to say nice things	phrase
toki pona li pona tawa mi.	I like Toki Pona.	phrase
toki!	Hello!, Hi!, etc.	word
tomo pi mi mute li pakala.	Our house is messed up.	phrase
waso li tawa lon kon.	Birds fly in air.	phrase
(mi meli.) mi olin e meli.	I am a lesbian	phrase
(mi mije.) mi olin e mije.	I am gay (male)	phrase
(ona) li ike	(she/he/it) is bad, I don't like (her/him/it)	phrase
(ona) li pona	(he/she/it) is good, I like (him/her/it)	phrase
(ona) li seme?	what is (she/he) like?	phrase
A: a! sina lukin ala lukin e ijo nasa ni?	Whoa! Do you see that weird thing?	phrase
A: mi mute o tawa.	Let's go.	phrase
A: mi tawa ma Elopa.	I went to Europe.	phrase
Akanisan	Afghanistan	word
Alan	Ireland, Irish Gaelic	word
Alensina	Argentina	word
Anku	Korea, Korean	word
Antola	Andorra	word
Awisi	Haiti, Haitian Creole	word
B: mi kin lukin e ona.	I see it indeed.	phrase
B: mi ken ala. mi kin moku.	I can't. I'm still eating.	phrase
B: pona! mi kin tawa ma Elopa.	Cool! I also went to Europe.	phrase
Ekato	Ecuador	word
Elena	Greece, Greek	word
Epanja	Spain, Spanish	word
Esi	Estonia, Estonian	word
Esuka	Basque Country, Basque	word
I like plants.	kasi li pona tawa mi.	phrase
Ilakija	Iraq	word
Ilan	Iran, Persian	word
Inli	England, English	word
Intonesija	Indonesia, Indonesian	word
Isale	Israel	word
Isilan	Iceland, Icelandic	word
