@rowCount	12099
w	d
debitejo	retail store
debiti	to sell individually, sell at retail
debitisto	retailer
debito	debit, demand, sale, turnover
debitoro	account receivable, debtor
deblovajxo	windfall
debrustigi	to wean (a child)
debuta	maiden
debutanta	junior, future, young
debutanto	debutante
debuti	to debut, make ones debut
debuto	debut
debutonumi	to unbutton
deca	becoming, decent, fitting, proper, suitable, seemly, neat
decaj uloj	decent folk, respectable folk
dece	decently, properly
dece kunmeti	to assort
dececo	decorum, neatness
decembro	December
decentrokura	centrifugal
deci	to befit, be fitting
decibelo	decibel
decida	decided, decisive, determined, resolute
decida konkurso	decider, play-off
decide	critically, decisively
decidebla aro	recursive set
decideblo	decidability
decideco	decision, firmness, peremptoriness, resolution, determination
decidega	unbending, resolute
decidema	decisive, determined, resolute, unflinching, unhesitating
decideme	decisively, resolutely, unflinchingly, unhesitatingly
decidemo	decisiveness, determination, resolution, willpower
decidi	to choose, decide, determine, resolve, settle
decidi alie	to decide otherwise
decidi pri	to decide on
decidiga	decisive
decidige	conclusively, convincingly, decisively
decidigi	to induce
decidigxi	to make up one’s mind
decidigxo	decision-making
decidita	accomplished
decido	decision
decidofarado	decision-making
decidrajto	dispositional right
decidtabelo	decision table
decidua	deciduous
decidvocxe	in a determined voice
decigramo	decigram
decilitro	deciliter
decimala	decimal
decimalo	decimal, digit after the radix point
decimetro	decimeter
decmora	modest
deco	decency, propriety
decxerpi	to draw (water), ladle, scoop
decxevaligxi	to dismount
decxifrajxo	decrypt
decxifri	to decipher, decode
dedekinda	Dedekind
dedekinda trancxo	Dedekind cut
Dedekindo	Dedekind
dedica	decisive
dedice	decisively
dedicxi	to consecrate, dedicate, devote, set aside, vow
dedicxi atenton al	to pay attention to
dedicxita	dedicated
dedicxita konekto	dedicated line
dedicxo	dedication
dedukta	deductive
dedukti	to deduce, gather
dedukto	deduction
deerigi	to split off
defalajxejo	dump, refuse dump, tip, rubbish tip
defalajxo	clippings, cuttings, parings, refuse, rubbish, waste, windfall
defali	to fall, fall off, tumble down
defalo	decline, downfall, drop, fall
defauxlta	default
defauxlte	by default
defauxlto	default
defelisto	knacker
defenda	defensive
defendanto	defender
defende	defensively
defendi	to defend
defendilo	(instrument of) defense
defendisto	advocate
defendo	defense, defense
defensiva	defensive
defensive	defensively
defensivo	defensive
defetismo	defeatism
defia	challenging
deficito	deficiency, deficit
defii	to challenge, defy
defilado	march, marching, parade
defili	to march in file, march past, parade
definitiva	definite, definitive
definitive	definitely, positively
definitivigi	to confirm, ratify
defio	challenge
deflacio	deflation
deflanki	to move to the side
deflankigxi	to go astray, get off the subject
deflori	to deflorate
defluado	efflux
defluejo	drain
deflui	to flow away
defluiga tubo	drain-pipe, outlet-pipe, waste-pipe
defluilego	sewer
defluilo	ditch, eaves, gutter
defonta	source
defora	remote
defora atingo	remote access
defora komunikado	remoting
defora stirado	remote control
defore	remotely
deformi	to contort, deform, disfigure, distort, pervert, twist
defrauxdi	to misappropriate
defrotajxo	excoriation
defroti	to rub off
degelado	thaw
degeli	to melt, thaw
degeligi	to thaw
degeligxo	melting, thaw
degelo	melting, thaw
degenera matrico	singular matrix
degenerado	degradation, deterioration
degeneri	to degenerate, degrade, deteriorate
degenerigi	to degrade
degenerinta	degenerate
degenerita	degenerate
degenero	degradation, deterioration
degliti	to slide off
degna	condescending
degne	condescendingly
degni	to condescend, deign, vouchsafe
degno	condescension
degradado	demotion, downgrading
degradi	to degrade, demote, downgrade
degradigxo	demotion
degrado	degradation, demotion, reduction in ranks, relegation
degrati	to scrape, scrape off, scratch off
deguti	to drain, drip down, trickle down
dehaki	to chop down, cut off, hew
dehiskado	dehiscence
dehiski	to dehisce
deigi	to detach
deigxi	to become dislodged
deigxo	offset
deiri	to leave (depart)
deiro	departure
deirpunkto	starting point
deismo	deism
Dejmo	Deimos
dejni	to condescend, deign, vouchsafe
dejxeti	to cast off, fling off, throw off
dejxorado	serving, performing one’s duty
dejxorajxo	corvée
dejxoranto	person on duty
dejxorejo	place of duty, workplace, post, position
dejxori	to be on duty, serve
dejxoro	duty
dek	ten
dek du	twelve
dek kvar	fourteen
dek kvin	fifteen
dek naux	nineteen
dek ok	eighteen
dek sep	seventeen
dek ses	sixteen
dek tri	thirteen
dek unu	eleven
dek-dua	twelfth
dek-duedro	dodecahedron
dek-dulatero	dodecagon
dek-duo	a dozen
dek-kvara	fourteenth
dek-kvina	fifteenth
dek-nauxa	nineteenth
dek-oka	eighteenth
dek-sepa	seventeenth
dek-sepono	a seventeenth
dek-sesa	sixteenth
dek-tria	thirteenth
dek-unua	eleventh
dek-unulatero	hendecagon
deka	tenth
dekaaro	decare, ten acres
dekadenca	decadent
dekadenci	to be decadent
dekadencigi	to make decadent
dekadencismo	decadence
dekadenco	decadence, decline, decay
dekado	decade
dekagramo	decagram
dekalitro	decaliter
dekalkulebla	deductible
dekalkuli	to count down
dekalkulo	allowance (ac)
dekalogo	Decalogue, the Ten Commandments
dekametro	decameter
dekano	dean (college, etc.)
dekanti	to decant, pour off
dekatlono	decathlon
dekdisciplino	decathlon
dekduedro	dodecahedron
dekduhore	for twelve hours
dekdujara	twelve-year old
dekdukorda	twelve-string
dekdumezura	twelve-bar
dekduo	dozen
deke	tenthly
dekedro	decahedron
dekfoje	ten times
dekjara	ten year-old
Dekkano	Deccan
dekkelkjarulo	teenager
dekkvinjara	fifteen year-old
deklamado	declamation, recital
deklamanto	reciter
deklami	to declaim, recite
deklami monotone	to rattle off, reel off
deklamo	declamation
deklamoado	recitation
deklara	declarative
deklaracio	announcement, declaration, proclamation, manifesto
deklarado	assertion
deklarajxo	assertion
deklarema lingvo	declarative language, non-procedural language
deklari	to declare, state, proclaim
deklari invalida	to reject
deklari netauxga	to declare unfit for use, condemn, scrap
deklarilo	tax form
deklaro	declaration, proclamation, statement
deklatero	decagon
deklinacii	to decline (grammar)
deklinacio	declension, declination
deklini	to decline
deklinigi	to ward, turn aside
deklinigxi	to deviate
deklinigxo	declination, deflection, deviation
dekliva	sloping
dekliva streketo	backslash, backward slash
deklivajxo	bank
dekliveco	declivity, inclination, slant, slope
deklivi	to slope (down)
deklivirejo	ramp d
deklivo	declivity, gradient, hillside, side, slant, slope, incline
dekmil	ten thousand
dekmilo	ten thousand
deko	(count of) ten
dekobla	tenfold
dekoble	ten-fold
dekodigi	to decode
dekoka	eighteenth
dekokjara	eighteen year-old
dekokti	to boil, decoct
dekokto	decoction
dekoltajxo	cleavage, décolletage
dekolti	to cut low, expose neck and shoulders
dekoltita	bare-necked, décolleté, low-cut
dekolto	décolleté
dekomence	from the beginning
dekonajxo	a tenth, tithe
dekonduki	to lead away
dekoneco	tithing
dekono	tenth, tithe
dekonsili	to advise against, dissuade from
dekontigi	to transfer
dekope	by tens
dekoracii	to decorate
dekoracio	décor, decoration, theater set
dekori	to adorn, decorate, ornament
dekoro	décor, decoration
dekpieda	decapod
dekpieda krustulo	decapod
dekrementado	decrementation
dekrementi	to decrement
dekremento	decrement
dekrepito	decrepitation
dekreti	to decree
dekreto	decree, edict
dekrocxi	to unhook
deksesuma	hexadecimal
deksesuma nombrosistemo	hexadecimal notation
deksesuma sistemo	hexadecimal system
dekstra	right, right-hand
dekstra duonglobo de la cerbo	right hemisphere of the brain
dekstra flanko	right-hand side
dekstra klaso	right coset
dekstra korno	acute accent
dekstrakorna	acute
dekstramana	right-handed
dekstre	on the right
dekstre alklaki	right-click, context-click
dekstre de	at the right hand of
dekstre gxisrandigi	right-justify
dekstremigo	right alignment, right justify
dekstremularo	right
dekstren	right, to the right
dekstrigo	right alignment
dekstrino	dextrin
dekstro	starboard
dekstrozo	glucose
dekstrula	rightist, right-wing
dekstrulo	right-hander
dekstruma	positively oriented (basis)
dekstrume	clockwise
dekto	tenth
dekuma	decimal
dekuma frakcio	decimal fraction
